download_rank,pdb_id,experimental_methods,resolution_combined,deposited_atom_count,coordinate_url,download_status
42,1G6J,SOLUTION NMR,,601,https://files.rcsb.org/download/1G6J.cif.gz,not_started
43,1G6P,SOLUTION NMR,,528,https://files.rcsb.org/download/1G6P.cif.gz,not_started
44,1G7E,SOLUTION NMR,,980,https://files.rcsb.org/download/1G7E.cif.gz,not_started
45,1G9L,SOLUTION NMR,,1070,https://files.rcsb.org/download/1G9L.cif.gz,not_started
46,1GJZ,SOLUTION NMR,,826,https://files.rcsb.org/download/1GJZ.cif.gz,not_started
47,1GM1,SOLUTION NMR,,687,https://files.rcsb.org/download/1GM1.cif.gz,not_started
48,1GO0,SOLUTION NMR,,773,https://files.rcsb.org/download/1GO0.cif.gz,not_started
49,1GTF,X-RAY DIFFRACTION,1.75,14607,https://files.rcsb.org/download/1GTF.cif.gz,not_started
50,1GTN,X-RAY DIFFRACTION,2.5,13241,https://files.rcsb.org/download/1GTN.cif.gz,not_started
51,1H3Z,SOLUTION NMR,,854,https://files.rcsb.org/download/1H3Z.cif.gz,not_started
52,1H5P,SOLUTION NMR,,774,https://files.rcsb.org/download/1H5P.cif.gz,not_started
53,1H67,SOLUTION NMR,,863,https://files.rcsb.org/download/1H67.cif.gz,not_started
54,1HDL,SOLUTION NMR,,449,https://files.rcsb.org/download/1HDL.cif.gz,not_started
55,1HEH,SOLUTION NMR,,615,https://files.rcsb.org/download/1HEH.cif.gz,not_started
56,1HEJ,SOLUTION NMR,,615,https://files.rcsb.org/download/1HEJ.cif.gz,not_started
57,1HF9,SOLUTION NMR,,702,https://files.rcsb.org/download/1HF9.cif.gz,not_started
58,1HH8,X-RAY DIFFRACTION,1.8,1785,https://files.rcsb.org/download/1HH8.cif.gz,not_started
59,1HJM,SOLUTION NMR,,877,https://files.rcsb.org/download/1HJM.cif.gz,not_started
60,1HKO,SOLUTION NMR,,875,https://files.rcsb.org/download/1HKO.cif.gz,not_started
61,1HS7,SOLUTION NMR,,796,https://files.rcsb.org/download/1HS7.cif.gz,not_started
62,1HY8,SOLUTION NMR,,592,https://files.rcsb.org/download/1HY8.cif.gz,not_started
63,1HZE,SOLUTION NMR,,1534,https://files.rcsb.org/download/1HZE.cif.gz,not_started
64,1I11,SOLUTION NMR,,598,https://files.rcsb.org/download/1I11.cif.gz,not_started
65,1I17,SOLUTION NMR,,865,https://files.rcsb.org/download/1I17.cif.gz,not_started
66,1I18,SOLUTION NMR,,1534,https://files.rcsb.org/download/1I18.cif.gz,not_started
67,1I1S,SOLUTION NMR,,719,https://files.rcsb.org/download/1I1S.cif.gz,not_started
68,1I4V,SOLUTION NMR,,1730,https://files.rcsb.org/download/1I4V.cif.gz,not_started
69,1IBI,SOLUTION NMR,,448,https://files.rcsb.org/download/1IBI.cif.gz,not_started
70,1ICH,SOLUTION NMR,,714,https://files.rcsb.org/download/1ICH.cif.gz,not_started
71,1IE5,SOLUTION NMR,,830,https://files.rcsb.org/download/1IE5.cif.gz,not_started
72,1IFW,SOLUTION NMR,,736,https://files.rcsb.org/download/1IFW.cif.gz,not_started
73,1IH0,SOLUTION NMR,,608,https://files.rcsb.org/download/1IH0.cif.gz,not_started
74,1IIO,SOLUTION NMR,,606,https://files.rcsb.org/download/1IIO.cif.gz,not_started
75,1IJA,SOLUTION NMR,,1177,https://files.rcsb.org/download/1IJA.cif.gz,not_started
76,1IK0,SOLUTION NMR,,871,https://files.rcsb.org/download/1IK0.cif.gz,not_started
77,1ILO,SOLUTION NMR,,586,https://files.rcsb.org/download/1ILO.cif.gz,not_started
78,1IMO,SOLUTION NMR,,701,https://files.rcsb.org/download/1IMO.cif.gz,not_started
79,1IMU,SOLUTION NMR,,855,https://files.rcsb.org/download/1IMU.cif.gz,not_started
80,1IN1,SOLUTION NMR,,701,https://files.rcsb.org/download/1IN1.cif.gz,not_started
81,1INZ,SOLUTION NMR,,1209,https://files.rcsb.org/download/1INZ.cif.gz,not_started
82,1IQO,SOLUTION NMR,,703,https://files.rcsb.org/download/1IQO.cif.gz,not_started
83,1IQS,SOLUTION NMR,,703,https://files.rcsb.org/download/1IQS.cif.gz,not_started
84,1IRZ,SOLUTION NMR,,520,https://files.rcsb.org/download/1IRZ.cif.gz,not_started
85,1IT1,SOLUTION NMR,,973,https://files.rcsb.org/download/1IT1.cif.gz,not_started
86,1ITY,SOLUTION NMR,,582,https://files.rcsb.org/download/1ITY.cif.gz,not_started
87,1IUR,SOLUTION NMR,,754,https://files.rcsb.org/download/1IUR.cif.gz,not_started
88,1IV6,SOLUTION NMR,,1027,https://files.rcsb.org/download/1IV6.cif.gz,not_started
89,1IY3,SOLUTION NMR,,1027,https://files.rcsb.org/download/1IY3.cif.gz,not_started
90,1IY4,SOLUTION NMR,,1027,https://files.rcsb.org/download/1IY4.cif.gz,not_started
91,1IYF,SOLUTION NMR,,622,https://files.rcsb.org/download/1IYF.cif.gz,not_started
92,1IYM,SOLUTION NMR,,415,https://files.rcsb.org/download/1IYM.cif.gz,not_started
93,1J0F,SOLUTION NMR,,774,https://files.rcsb.org/download/1J0F.cif.gz,not_started
94,1J0T,SOLUTION NMR,,638,https://files.rcsb.org/download/1J0T.cif.gz,not_started
95,1J26,SOLUTION NMR,,851,https://files.rcsb.org/download/1J26.cif.gz,not_started
96,1J2O,SOLUTION NMR,,879,https://files.rcsb.org/download/1J2O.cif.gz,not_started
97,1J3T,SOLUTION NMR,,570,https://files.rcsb.org/download/1J3T.cif.gz,not_started
98,1J56,SOLUTION NMR,,959,https://files.rcsb.org/download/1J56.cif.gz,not_started
99,1J57,SOLUTION NMR,,1137,https://files.rcsb.org/download/1J57.cif.gz,not_started
100,1J7M,SOLUTION NMR,,451,https://files.rcsb.org/download/1J7M.cif.gz,not_started
101,1J8I,SOLUTION NMR,,716,https://files.rcsb.org/download/1J8I.cif.gz,not_started
102,1J8K,SOLUTION NMR,,720,https://files.rcsb.org/download/1J8K.cif.gz,not_started
103,1J9O,SOLUTION NMR,,716,https://files.rcsb.org/download/1J9O.cif.gz,not_started
104,1JAJ,SOLUTION NMR,,1433,https://files.rcsb.org/download/1JAJ.cif.gz,not_started
105,1JAS,SOLUTION NMR,,1219,https://files.rcsb.org/download/1JAS.cif.gz,not_started
106,1JBH,SOLUTION NMR,,1110,https://files.rcsb.org/download/1JBH.cif.gz,not_started
107,1JBI,SOLUTION NMR,,743,https://files.rcsb.org/download/1JBI.cif.gz,not_started
108,1JBJ,SOLUTION NMR,,1447,https://files.rcsb.org/download/1JBJ.cif.gz,not_started
109,1JC2,SOLUTION NMR,,604,https://files.rcsb.org/download/1JC2.cif.gz,not_started
110,1JCU,SOLUTION NMR,,1583,https://files.rcsb.org/download/1JCU.cif.gz,not_started
111,1JDQ,SOLUTION NMR,,788,https://files.rcsb.org/download/1JDQ.cif.gz,not_started
112,1JE3,SOLUTION NMR,,757,https://files.rcsb.org/download/1JE3.cif.gz,not_started
113,1JE4,SOLUTION NMR,,542,https://files.rcsb.org/download/1JE4.cif.gz,not_started
114,1JFN,SOLUTION NMR,,953,https://files.rcsb.org/download/1JFN.cif.gz,not_started
115,1JGN,SOLUTION NMR,,891,https://files.rcsb.org/download/1JGN.cif.gz,not_started
116,1JH3,SOLUTION NMR,,771,https://files.rcsb.org/download/1JH3.cif.gz,not_started
117,1JH4,SOLUTION NMR,,893,https://files.rcsb.org/download/1JH4.cif.gz,not_started
118,1JI8,SOLUTION NMR,,889,https://files.rcsb.org/download/1JI8.cif.gz,not_started
119,1JJD,SOLUTION NMR,,367,https://files.rcsb.org/download/1JJD.cif.gz,not_started
120,1JJG,SOLUTION NMR,,844,https://files.rcsb.org/download/1JJG.cif.gz,not_started
121,1JJJ,SOLUTION NMR,,1042,https://files.rcsb.org/download/1JJJ.cif.gz,not_started
122,1JJR,SOLUTION NMR,,432,https://files.rcsb.org/download/1JJR.cif.gz,not_started
123,1JJX,SOLUTION NMR,,1037,https://files.rcsb.org/download/1JJX.cif.gz,not_started
124,1JKN,SOLUTION NMR,,1362,https://files.rcsb.org/download/1JKN.cif.gz,not_started
125,1JMC,X-RAY DIFFRACTION,2.4,2120,https://files.rcsb.org/download/1JMC.cif.gz,not_started
126,1JNS,SOLUTION NMR,,712,https://files.rcsb.org/download/1JNS.cif.gz,not_started
127,1JNT,SOLUTION NMR,,712,https://files.rcsb.org/download/1JNT.cif.gz,not_started
128,1JQ4,SOLUTION NMR,,763,https://files.rcsb.org/download/1JQ4.cif.gz,not_started
129,1JRM,SOLUTION NMR,,831,https://files.rcsb.org/download/1JRM.cif.gz,not_started
130,1JRU,SOLUTION NMR,,695,https://files.rcsb.org/download/1JRU.cif.gz,not_started
131,1JSA,SOLUTION NMR,,1544,https://files.rcsb.org/download/1JSA.cif.gz,not_started
132,1JW2,SOLUTION NMR,,605,https://files.rcsb.org/download/1JW2.cif.gz,not_started
133,1JW3,SOLUTION NMR,,1139,https://files.rcsb.org/download/1JW3.cif.gz,not_started
134,1JWD,SOLUTION NMR,,1426,https://files.rcsb.org/download/1JWD.cif.gz,not_started
135,1JWE,SOLUTION NMR,,892,https://files.rcsb.org/download/1JWE.cif.gz,not_started
136,1K0V,SOLUTION NMR,,544,https://files.rcsb.org/download/1K0V.cif.gz,not_started
137,1K0X,SOLUTION NMR,,859,https://files.rcsb.org/download/1K0X.cif.gz,not_started
138,1K19,SOLUTION NMR,,917,https://files.rcsb.org/download/1K19.cif.gz,not_started
139,1K1C,SOLUTION NMR,,645,https://files.rcsb.org/download/1K1C.cif.gz,not_started
140,1K1Z,SOLUTION NMR,,637,https://files.rcsb.org/download/1K1Z.cif.gz,not_started
141,1K3G,SOLUTION NMR,,540,https://files.rcsb.org/download/1K3G.cif.gz,not_started
142,1K3H,SOLUTION NMR,,540,https://files.rcsb.org/download/1K3H.cif.gz,not_started
143,1K42,SOLUTION NMR,,1282,https://files.rcsb.org/download/1K42.cif.gz,not_started
144,1K45,SOLUTION NMR,,1282,https://files.rcsb.org/download/1K45.cif.gz,not_started
145,1K4U,SOLUTION NMR,,729,https://files.rcsb.org/download/1K4U.cif.gz,not_started
146,1K5O,SOLUTION NMR,,722,https://files.rcsb.org/download/1K5O.cif.gz,not_started
147,1K5W,SOLUTION NMR,,1185,https://files.rcsb.org/download/1K5W.cif.gz,not_started
148,1K76,SOLUTION NMR,,495,https://files.rcsb.org/download/1K76.cif.gz,not_started
149,1K85,SOLUTION NMR,,610,https://files.rcsb.org/download/1K85.cif.gz,not_started
150,1K8M,SOLUTION NMR,,690,https://files.rcsb.org/download/1K8M.cif.gz,not_started
151,1K8O,SOLUTION NMR,,690,https://files.rcsb.org/download/1K8O.cif.gz,not_started
152,1K9C,SOLUTION NMR,,619,https://files.rcsb.org/download/1K9C.cif.gz,not_started
153,1KA6,SOLUTION NMR,,916,https://files.rcsb.org/download/1KA6.cif.gz,not_started
154,1KA7,SOLUTION NMR,,946,https://files.rcsb.org/download/1KA7.cif.gz,not_started
155,1KAT,SOLUTION NMR,,1942,https://files.rcsb.org/download/1KAT.cif.gz,not_started
156,1KBE,SOLUTION NMR,,386,https://files.rcsb.org/download/1KBE.cif.gz,not_started
157,1KBF,SOLUTION NMR,,386,https://files.rcsb.org/download/1KBF.cif.gz,not_started
158,1KFT,SOLUTION NMR,,432,https://files.rcsb.org/download/1KFT.cif.gz,not_started
159,1KFZ,SOLUTION NMR,,513,https://files.rcsb.org/download/1KFZ.cif.gz,not_started
160,1KG1,SOLUTION NMR,,441,https://files.rcsb.org/download/1KG1.cif.gz,not_started
161,1KGL,SOLUTION NMR,,1131,https://files.rcsb.org/download/1KGL.cif.gz,not_started
162,1KLQ,SOLUTION NMR,,1680,https://files.rcsb.org/download/1KLQ.cif.gz,not_started
163,1KMA,SOLUTION NMR,,422,https://files.rcsb.org/download/1KMA.cif.gz,not_started
164,1KMD,SOLUTION NMR,,1018,https://files.rcsb.org/download/1KMD.cif.gz,not_started
165,1KMX,SOLUTION NMR,,444,https://files.rcsb.org/download/1KMX.cif.gz,not_started
166,1KN6,SOLUTION NMR,,592,https://files.rcsb.org/download/1KN6.cif.gz,not_started
167,1KN7,SOLUTION NMR,,531,https://files.rcsb.org/download/1KN7.cif.gz,not_started
168,1KRI,SOLUTION NMR,,1272,https://files.rcsb.org/download/1KRI.cif.gz,not_started
169,1KRW,SOLUTION NMR,,955,https://files.rcsb.org/download/1KRW.cif.gz,not_started
170,1KRX,SOLUTION NMR,,959,https://files.rcsb.org/download/1KRX.cif.gz,not_started
171,1KS0,SOLUTION NMR,,477,https://files.rcsb.org/download/1KS0.cif.gz,not_started
172,1KTM,SOLUTION NMR,,1083,https://files.rcsb.org/download/1KTM.cif.gz,not_started
173,1KTU,SOLUTION NMR,,1137,https://files.rcsb.org/download/1KTU.cif.gz,not_started
174,1KVN,SOLUTION NMR,,871,https://files.rcsb.org/download/1KVN.cif.gz,not_started
175,1KVV,SOLUTION NMR,,871,https://files.rcsb.org/download/1KVV.cif.gz,not_started
176,1KVZ,SOLUTION NMR,,854,https://files.rcsb.org/download/1KVZ.cif.gz,not_started
177,1KX2,SOLUTION NMR,,639,https://files.rcsb.org/download/1KX2.cif.gz,not_started
178,1KX7,SOLUTION NMR,,639,https://files.rcsb.org/download/1KX7.cif.gz,not_started
179,1KXL,SOLUTION NMR,,1559,https://files.rcsb.org/download/1KXL.cif.gz,not_started
180,1KZW,SOLUTION NMR,,1063,https://files.rcsb.org/download/1KZW.cif.gz,not_started
181,1KZX,SOLUTION NMR,,1065,https://files.rcsb.org/download/1KZX.cif.gz,not_started
182,1L1I,SOLUTION NMR,,568,https://files.rcsb.org/download/1L1I.cif.gz,not_started
183,1L1M,SOLUTION NMR,,1891,https://files.rcsb.org/download/1L1M.cif.gz,not_started
184,1L1P,SOLUTION NMR,,820,https://files.rcsb.org/download/1L1P.cif.gz,not_started
185,1L2M,SOLUTION NMR,,957,https://files.rcsb.org/download/1L2M.cif.gz,not_started
186,1L3E,SOLUTION NMR,,1111,https://files.rcsb.org/download/1L3E.cif.gz,not_started
187,1L4S,SOLUTION NMR,,889,https://files.rcsb.org/download/1L4S.cif.gz,not_started
188,1L5I,SOLUTION NMR,,957,https://files.rcsb.org/download/1L5I.cif.gz,not_started
189,1L6N,SOLUTION NMR,,2265,https://files.rcsb.org/download/1L6N.cif.gz,not_started
190,1L6T,SOLUTION NMR,,577,https://files.rcsb.org/download/1L6T.cif.gz,not_started
191,1L7B,SOLUTION NMR,,702,https://files.rcsb.org/download/1L7B.cif.gz,not_started
192,1L7Y,SOLUTION NMR,,691,https://files.rcsb.org/download/1L7Y.cif.gz,not_started
193,1L8C,SOLUTION NMR,,1141,https://files.rcsb.org/download/1L8C.cif.gz,not_started
194,1L8Y,SOLUTION NMR,,692,https://files.rcsb.org/download/1L8Y.cif.gz,not_started
195,1L8Z,SOLUTION NMR,,692,https://files.rcsb.org/download/1L8Z.cif.gz,not_started
196,1LFU,SOLUTION NMR,,1244,https://files.rcsb.org/download/1LFU.cif.gz,not_started
197,1LG4,SOLUTION NMR,,804,https://files.rcsb.org/download/1LG4.cif.gz,not_started
198,1LKJ,SOLUTION NMR,,1122,https://files.rcsb.org/download/1LKJ.cif.gz,not_started
199,1LKN,SOLUTION NMR,,760,https://files.rcsb.org/download/1LKN.cif.gz,not_started
200,1LL8,SOLUTION NMR,,884,https://files.rcsb.org/download/1LL8.cif.gz,not_started
201,1LM0,SOLUTION NMR,,755,https://files.rcsb.org/download/1LM0.cif.gz,not_started
202,1LMS,SOLUTION NMR,,793,https://files.rcsb.org/download/1LMS.cif.gz,not_started
203,1LMZ,SOLUTION NMR,,1480,https://files.rcsb.org/download/1LMZ.cif.gz,not_started
204,1LO1,SOLUTION NMR,,1234,https://files.rcsb.org/download/1LO1.cif.gz,not_started
205,1LQ7,SOLUTION NMR,,529,https://files.rcsb.org/download/1LQ7.cif.gz,not_started
206,1LR1,SOLUTION NMR,,922,https://files.rcsb.org/download/1LR1.cif.gz,not_started
207,1LUD,SOLUTION NMR,,1366,https://files.rcsb.org/download/1LUD.cif.gz,not_started
208,1LUI,SOLUTION NMR,,887,https://files.rcsb.org/download/1LUI.cif.gz,not_started
209,1LUK,SOLUTION NMR,,887,https://files.rcsb.org/download/1LUK.cif.gz,not_started
210,1LUM,SOLUTION NMR,,887,https://files.rcsb.org/download/1LUM.cif.gz,not_started
211,1LUN,SOLUTION NMR,,887,https://files.rcsb.org/download/1LUN.cif.gz,not_started
212,1LV3,SOLUTION NMR,,511,https://files.rcsb.org/download/1LV3.cif.gz,not_started
213,1LWM,SOLUTION NMR,,761,https://files.rcsb.org/download/1LWM.cif.gz,not_started
214,1LXF,SOLUTION NMR,,850,https://files.rcsb.org/download/1LXF.cif.gz,not_started
215,1M12,SOLUTION NMR,,653,https://files.rcsb.org/download/1M12.cif.gz,not_started
216,1M2E,SOLUTION NMR,,1054,https://files.rcsb.org/download/1M2E.cif.gz,not_started
217,1M2F,SOLUTION NMR,,1055,https://files.rcsb.org/download/1M2F.cif.gz,not_started
218,1M3G,SOLUTION NMR,,1133,https://files.rcsb.org/download/1M3G.cif.gz,not_started
219,1M3V,SOLUTION NMR,,907,https://files.rcsb.org/download/1M3V.cif.gz,not_started
220,1M4P,SOLUTION NMR,,1228,https://files.rcsb.org/download/1M4P.cif.gz,not_started
221,1M4Q,SOLUTION NMR,,1230,https://files.rcsb.org/download/1M4Q.cif.gz,not_started
222,1M5Z,SOLUTION NMR,,701,https://files.rcsb.org/download/1M5Z.cif.gz,not_started
223,1M7T,SOLUTION NMR,,821,https://files.rcsb.org/download/1M7T.cif.gz,not_started
224,1M8B,SOLUTION NMR,,418,https://files.rcsb.org/download/1M8B.cif.gz,not_started
225,1M8C,SOLUTION NMR,,418,https://files.rcsb.org/download/1M8C.cif.gz,not_started
226,1M94,SOLUTION NMR,,581,https://files.rcsb.org/download/1M94.cif.gz,not_started
227,1M9G,SOLUTION NMR,,807,https://files.rcsb.org/download/1M9G.cif.gz,not_started
228,1MJD,SOLUTION NMR,,914,https://files.rcsb.org/download/1MJD.cif.gz,not_started
229,1MKE,SOLUTION NMR,,1149,https://files.rcsb.org/download/1MKE.cif.gz,not_started
230,1MM2,SOLUTION NMR,,463,https://files.rcsb.org/download/1MM2.cif.gz,not_started
231,1MM4,SOLUTION NMR,,1438,https://files.rcsb.org/download/1MM4.cif.gz,not_started
232,1MM5,SOLUTION NMR,,1438,https://files.rcsb.org/download/1MM5.cif.gz,not_started
233,1MO7,SOLUTION NMR,,1671,https://files.rcsb.org/download/1MO7.cif.gz,not_started
234,1MO8,SOLUTION NMR,,1702,https://files.rcsb.org/download/1MO8.cif.gz,not_started
235,1MP1,SOLUTION NMR,,901,https://files.rcsb.org/download/1MP1.cif.gz,not_started
236,1MPE,SOLUTION NMR,,1776,https://files.rcsb.org/download/1MPE.cif.gz,not_started
237,1MWN,SOLUTION NMR,,1698,https://files.rcsb.org/download/1MWN.cif.gz,not_started
238,1MWY,SOLUTION NMR,,555,https://files.rcsb.org/download/1MWY.cif.gz,not_started
239,1MWZ,SOLUTION NMR,,556,https://files.rcsb.org/download/1MWZ.cif.gz,not_started
240,1MX7,SOLUTION NMR,,1102,https://files.rcsb.org/download/1MX7.cif.gz,not_started
241,1MX8,SOLUTION NMR,,1123,https://files.rcsb.org/download/1MX8.cif.gz,not_started
242,1MZK,SOLUTION NMR,,924,https://files.rcsb.org/download/1MZK.cif.gz,not_started
243,1N02,SOLUTION NMR,,775,https://files.rcsb.org/download/1N02.cif.gz,not_started
244,1N27,SOLUTION NMR,,755,https://files.rcsb.org/download/1N27.cif.gz,not_started
245,1N3G,SOLUTION NMR,,897,https://files.rcsb.org/download/1N3G.cif.gz,not_started
246,1N3H,SOLUTION NMR,,1583,https://files.rcsb.org/download/1N3H.cif.gz,not_started
247,1N3J,SOLUTION NMR,,1912,https://files.rcsb.org/download/1N3J.cif.gz,not_started
248,1N5H,SOLUTION NMR,,820,https://files.rcsb.org/download/1N5H.cif.gz,not_started
249,1N5P,SOLUTION NMR,,820,https://files.rcsb.org/download/1N5P.cif.gz,not_started
250,1N6U,SOLUTION NMR,,1710,https://files.rcsb.org/download/1N6U.cif.gz,not_started
251,1N6V,SOLUTION NMR,,1710,https://files.rcsb.org/download/1N6V.cif.gz,not_started
252,1N7T,SOLUTION NMR,,852,https://files.rcsb.org/download/1N7T.cif.gz,not_started
253,1N89,SOLUTION NMR,,515,https://files.rcsb.org/download/1N89.cif.gz,not_started
254,1N91,SOLUTION NMR,,836,https://files.rcsb.org/download/1N91.cif.gz,not_started
255,1N9C,SOLUTION NMR,,540,https://files.rcsb.org/download/1N9C.cif.gz,not_started
256,1NE3,SOLUTION NMR,,530,https://files.rcsb.org/download/1NE3.cif.gz,not_started
257,1NEE,SOLUTION NMR,,1098,https://files.rcsb.org/download/1NEE.cif.gz,not_started
258,1NEI,SOLUTION NMR,,922,https://files.rcsb.org/download/1NEI.cif.gz,not_started
259,1NG7,SOLUTION NMR,,966,https://files.rcsb.org/download/1NG7.cif.gz,not_started
260,1NHO,SOLUTION NMR,,661,https://files.rcsb.org/download/1NHO.cif.gz,not_started
261,1NKU,SOLUTION NMR,,1481,https://files.rcsb.org/download/1NKU.cif.gz,not_started
262,1NMR,SOLUTION NMR,,636,https://files.rcsb.org/download/1NMR.cif.gz,not_started
263,1NNV,SOLUTION NMR,,884,https://files.rcsb.org/download/1NNV.cif.gz,not_started
264,1NO8,SOLUTION NMR,,600,https://files.rcsb.org/download/1NO8.cif.gz,not_started
265,1NOR,SOLUTION NMR,,476,https://files.rcsb.org/download/1NOR.cif.gz,not_started
266,1NPQ,SOLUTION NMR,,819,https://files.rcsb.org/download/1NPQ.cif.gz,not_started
267,1NQ4,SOLUTION NMR,,693,https://files.rcsb.org/download/1NQ4.cif.gz,not_started
268,1NR3,SOLUTION NMR,,993,https://files.rcsb.org/download/1NR3.cif.gz,not_started
269,1NSH,SOLUTION NMR,,1586,https://files.rcsb.org/download/1NSH.cif.gz,not_started
270,1NWB,SOLUTION NMR,,796,https://files.rcsb.org/download/1NWB.cif.gz,not_started
271,1NWD,SOLUTION NMR,,1638,https://files.rcsb.org/download/1NWD.cif.gz,not_started
272,1NWV,SOLUTION NMR,,1006,https://files.rcsb.org/download/1NWV.cif.gz,not_started
273,1NXI,SOLUTION NMR,,1080,https://files.rcsb.org/download/1NXI.cif.gz,not_started
274,1NY4,SOLUTION NMR,,566,https://files.rcsb.org/download/1NY4.cif.gz,not_started
275,1NY8,SOLUTION NMR,,780,https://files.rcsb.org/download/1NY8.cif.gz,not_started
276,1NY9,SOLUTION NMR,,741,https://files.rcsb.org/download/1NY9.cif.gz,not_started
277,1NYN,SOLUTION NMR,,846,https://files.rcsb.org/download/1NYN.cif.gz,not_started
278,1NZP,SOLUTION NMR,,674,https://files.rcsb.org/download/1NZP.cif.gz,not_started
279,1O1W,SOLUTION NMR,,1075,https://files.rcsb.org/download/1O1W.cif.gz,not_started
280,1O5P,SOLUTION NMR,,826,https://files.rcsb.org/download/1O5P.cif.gz,not_started
281,1O6W,SOLUTION NMR,,629,https://files.rcsb.org/download/1O6W.cif.gz,not_started
282,1O6X,SOLUTION NMR,,648,https://files.rcsb.org/download/1O6X.cif.gz,not_started
283,1O7B,SOLUTION NMR,,771,https://files.rcsb.org/download/1O7B.cif.gz,not_started
284,1O7C,SOLUTION NMR,,771,https://files.rcsb.org/download/1O7C.cif.gz,not_started
285,1ON4,SOLUTION NMR,,1399,https://files.rcsb.org/download/1ON4.cif.gz,not_started
