split,bmrb_id,pdb_id,chain_id,n_rows,h_entry_offset_score_ppm,n_entry_offset_score_ppm,h_entry_mean_deviation_ppm,n_entry_mean_deviation_ppm,h_entry_deviation_mad_ppm,n_entry_deviation_mad_ppm,h_robust_z_train_rule,n_robust_z_train_rule,h_reference_outlier_flag,n_reference_outlier_flag,n_only_reference_outlier_flag
train,4129,1Q80,A,165,-0.15100000000000158,-3.299999999999997,-0.1920606060606064,-3.258551515151515,0.3589999999999991,2.422499999999985,-0.831734004017169,-3.595848582046058,False,True,True
train,4141,1NK2,P,71,0.009999999999999787,0.48750000000001137,0.0039859154929573135,0.1631971830985896,0.3485000000000005,1.8075000000000188,0.05655239496634154,0.4817791139118646,False,False,False
train,4147,1H95,A,69,0.28600000000000136,0.0,0.2117028985507243,0.26026811594202837,0.4535000000000018,1.9890000000000043,1.5793290789380696,-0.043064054874809785,False,False,False
train,4153,1RXR,A,78,0.055749999999998856,0.5915000000000035,0.13724358974358944,1.429474358974358,0.34499999999999975,2.509999999999998,0.3089691822551269,0.593745656586344,False,False,False
train,4155,1EOT,A,63,0.019499999999998963,0.2530000000000001,-0.03844444444444448,-0.10651587301587476,0.42050000000000054,1.8769999999999953,0.10896680981318965,0.22931609220831964,False,False,False
train,4156,1BJX,A,106,-0.025000000000000355,1.2299999999999969,-0.008702830188679591,1.6605141509433965,0.4297500000000003,2.75,-0.1365533439431164,1.2811556325253806,False,False,False
train,4173,1BM6,A,151,-0.022499999999999076,0.1875,0.006450331125827586,0.2784735099337746,0.5024999999999995,2.6925000000000097,-0.12276007687814813,0.15879870235082952,False,False,False
train,4177,1BO0,A,71,0.05000000000000071,-0.05000000000001137,-0.04855633802816922,-0.1335422535211273,0.2900000000000009,1.8300000000000125,0.2772446680057263,-0.09689412346832584,False,False,False
train,4184,1EH2,A,84,-0.16000000000000103,-1.3382500000000022,-0.11170238095238111,-1.227952380952381,0.4349999999999996,1.9585000000000008,-0.8813897654510264,-1.4838258407799416,False,False,False
train,4197,2CPS,A,48,-0.20500000000000096,0.03624999999999545,-0.15298958333333362,0.24282291666666675,0.2250000000000001,1.1949999999999932,-1.1296685726203282,-0.004037255144524413,False,False,False
train,4198,1BR0,A,118,-0.1912500000000006,-0.41899999999999693,-0.12385169491525451,-0.40991101694915355,0.237000000000001,1.214250000000007,-1.0538056037630392,-0.4941600296883684,False,False,False
train,4199,3NLA,A,65,0.22500000000000142,1.0700000000000074,0.15794615384615363,1.5374615384615373,0.4539999999999971,2.3299999999999983,1.242773362553016,1.1088994130261798,False,False,False
train,4202,1BA9,A,139,0.19000000000000128,0.20999999999999375,0.18543884892086313,0.6390791366906471,0.4050000000000029,3.109999999999985,1.049667623643558,0.1830222332178995,False,False,False
train,4206,1MFN,A,165,0.15000000000000036,-0.10999999999999943,0.16684242424242401,-0.30913333333333287,0.3800000000000008,3.230000000000004,0.8289753506041734,-0.16149020578051757,False,False,False
train,4207,2ORC,A,68,0.1299999999999999,0.5399999999999991,0.16139705882352906,0.4117279411764706,0.4744999999999999,2.2935000000000088,0.718629214084481,0.5383006859350304,False,False,False
train,4209,2CPB,A,47,-0.22250000000000014,0.20000000000000284,-0.1915425531914897,0.3264361702127666,0.22749999999999915,1.3059999999999974,-1.2262214420750521,0.17225621949920852,False,False,False
train,4214,2TMP,A,116,-0.027000000000000135,0.1039999999999992,0.0374999999999998,0.22268965517241363,0.4015000000000004,2.3735,-0.1475879575950842,0.0689024877996773,False,False,False
train,4215,1SSN,A,123,0.16350000000000087,2.497,0.13207317073170696,2.7356382113821143,0.3764999999999983,2.616500000000002,0.9034589927549669,2.6452095706847705,False,False,False
train,4216,1BHI,A,32,-0.16000000000000014,-0.757000000000005,-0.1425468750000003,-0.5576250000000003,0.37200000000000033,1.6952499999999944,-0.8813897654510215,-0.8580512933804629,False,False,False
train,4222,1MNL,A,86,0.23075000000000045,0.6664999999999992,0.2454302325581393,0.5656337209302311,0.4270000000000005,3.3262499999999946,1.2744978768024215,0.6744907594765952,False,False,False
train,4224,1MYO,A,109,-0.11000000000000121,-1.8799999999999955,-0.17493577981651387,-1.3964816513761473,0.4399999999999977,2.0870000000000033,-0.6055244241518029,-2.0670746339905484,False,False,False
train,4241,2XBD,A,84,0.3099999999999987,1.3250000000000028,0.25348809523809496,1.2215476190476195,0.2999999999999998,3.3049999999999926,1.7117444427616828,1.3834327628530443,False,False,False
train,4248,2LEF,A,82,-0.18000000000000016,-1.201500000000003,-0.2236280487804881,-0.8372987804878067,0.4450000000000003,2.055500000000002,-0.9917359019707114,-1.3366006031767095,False,False,False
train,4249,1XPA,A,100,-0.11800000000000033,0.3369999999999962,-0.044285000000000234,0.22593999999999823,0.47450000000000037,2.3092499999999987,-0.6496628787596739,0.3197506074454018,False,False,False
train,4255,2IF1,A,115,0.02999999999999936,1.1899999999999977,0.07987391304347806,1.5751347826086957,0.29999999999999893,2.2099999999999937,0.166898531486029,1.2380915776505785,False,False,False
train,4262,1BZF,A,151,0.09999999999999964,-0.10599999999999454,0.0768278145695361,0.31552649006622485,0.5205000000000002,3.185999999999993,0.5531100093049449,-0.157183800293032,False,False,False
train,4265,1DS9,A,191,-0.03850000000000087,-0.009000000000000341,-0.08549214659685875,0.2738586387434541,0.4814999999999996,2.429000000000002,-0.21103698609390986,-0.052753467221640836,False,False,False
train,4271,1JFJ,A,131,-0.19000000000000128,1.8799999999999955,-0.06141603053435138,2.7627213740458,0.4999999999999982,2.0889999999999986,-1.0469089702305625,1.9809465242409288,False,False,False
train,4276,1B2I,A,73,0.26000000000000156,-0.7524999999999977,0.07687671232876704,-0.7686301369863027,0.5199999999999996,3.132499999999993,1.435879101462474,-0.8532065872070397,False,False,False
train,4281,1Z0R,A,49,0.16500000000000092,-0.36299999999999955,0.20981632653061205,0.43676530612244807,0.31299999999999883,2.367500000000007,0.9117349529939439,-0.43387035286364695,False,False,False
train,4299,2F63,A,127,0.019999999999999574,1.2724999999999937,-0.06375590551181118,1.9020984251968496,0.5050000000000008,2.7475000000000023,0.11172546322618528,1.3269111908298554,False,False,False
train,4300,2F65,A,138,0.054499999999999105,1.8882499999999993,-0.0056123188405798885,2.2682826086956513,0.5199999999999996,3.4512499999999946,0.3020725487226476,1.989828485558861,False,False,False
train,4312,1JM4,B,100,-0.2552500000000002,-1.724499999999999,-0.23155000000000023,-1.3309050000000007,0.3450000000000002,1.9212500000000006,-1.4069132406260445,-1.8996631206647552,False,False,False
train,4313,1ZRR,A,144,-0.00025000000000030553,-0.3535000000000039,0.019010416666666433,-0.028097222222223255,0.4425000000000012,2.4549999999999983,0.0,-0.42364263983088596,False,False,False
train,4342,1LY7,A,117,-0.040500000000001535,2.093999999999994,-0.06624786324786347,2.491598290598291,0.5705000000000027,2.6939999999999884,-0.22207159974588253,2.2113392178211235,False,False,False
val,4052,1JOO,A,128,0.07500000000000018,1.5715000000000003,0.16171874999999974,1.4121132812499992,0.4249999999999998,2.9665000000000035,0.41517733865533557,1.6488150010190155,False,False,False
val,4053,1JOQ,A,127,0.05999999999999872,1.4100000000000108,0.13599212598425164,1.1496417322834638,0.5100000000000016,2.910000000000011,0.3324177362655602,1.4749438794620093,False,False,False
val,4090,2EZH,A,61,-0.23000000000000043,-1.7875000000000085,-0.2139180327868856,-1.6465245901639367,0.40000000000000036,1.6450000000000102,-1.2676012432699375,-1.9674890070925803,False,False,False
val,4186,1BLR,A,118,0.3194999999999997,0.9205000000000041,0.2855381355932201,1.5721398305084744,0.5347499999999998,2.8255000000000052,1.7641588576085407,0.9479475079315998,False,False,False
val,4217,1BHU,A,93,0.07949999999999946,1.8800000000000097,0.026779569892472783,1.6553870967741937,0.28999999999999915,2.780000000000001,0.44000521937226184,1.9809465242409439,False,False,False
val,4225,3GRX,A,77,-0.03850000000000087,-1.1200000000000045,0.011824675324675104,-0.9527207792207796,0.5864999999999982,2.807000000000002,-0.21103698609390986,-1.2488575913693,False,False,False
val,4254,1L3G,A,107,0.041999999999999815,-0.32750000000000057,-0.0011822429906545298,-0.48733644859813186,0.4344999999999999,2.9265000000000043,0.2331062133978454,-0.39565100416226034,False,False,False
val,4263,2NMB,A,143,0.03149999999999942,-0.0589999999999975,0.014374125874125628,0.33031818181818134,0.33999999999999986,2.4669999999999987,0.17517449172500604,-0.10658353581514159,False,False,False
