bmrb_id,stage1_candidate_rows,after_coverage_candidate_rows,after_missing_atoms_candidate_rows,best_coverage_exact_numerator,best_coverage_exact_denominator,minimum_missing_required_backbone_atoms,selection_status
16492,3,3,3,52,53,0,unresolved_exact_tie
16606,2,2,2,54,55,0,unresolved_exact_tie
16607,2,2,2,54,55,0,unresolved_exact_tie
16632,2,2,2,1,1,0,unresolved_exact_tie
16636,2,2,2,69,73,0,unresolved_exact_tie
16656,2,2,2,66,71,0,unresolved_exact_tie
16808,2,2,2,1,1,0,unresolved_exact_tie
16809,2,2,2,1,1,0,unresolved_exact_tie
16871,2,2,2,41,44,0,unresolved_exact_tie
16879,2,2,2,1,1,0,unresolved_exact_tie
16961,2,2,2,1,1,0,unresolved_exact_tie
17025,2,2,2,1,1,0,unresolved_exact_tie
17026,2,2,2,1,1,0,unresolved_exact_tie
17031,2,2,2,1,1,0,unresolved_exact_tie
17175,2,2,2,1,1,0,unresolved_exact_tie
17233,2,2,2,1,1,0,unresolved_exact_tie
17261,2,2,2,1,1,0,unresolved_exact_tie
17262,2,2,2,1,1,0,unresolved_exact_tie
17288,2,2,2,1,1,0,unresolved_exact_tie
17425,2,2,2,1,1,0,unresolved_exact_tie
17453,2,2,2,67,68,0,unresolved_exact_tie
17488,2,2,2,1,1,0,unresolved_exact_tie
17561,2,2,2,1,1,0,unresolved_exact_tie
17643,2,2,2,1,1,0,unresolved_exact_tie
17689,2,2,2,1,1,0,unresolved_exact_tie
17704,2,2,2,1,1,0,unresolved_exact_tie
17753,2,2,2,1,1,0,unresolved_exact_tie
17771,2,2,2,1,1,0,unresolved_exact_tie
17772,2,2,2,1,1,0,unresolved_exact_tie
17775,2,2,2,111,112,0,unresolved_exact_tie
17776,2,2,2,111,112,0,unresolved_exact_tie
17832,2,2,2,1,1,0,unresolved_exact_tie
17856,2,2,2,1,1,0,unresolved_exact_tie
17857,2,2,2,1,1,0,unresolved_exact_tie
17892,2,2,2,1,1,0,unresolved_exact_tie
17893,2,2,2,1,1,0,unresolved_exact_tie
17894,2,2,2,1,1,0,unresolved_exact_tie
17968,2,2,2,35,41,0,unresolved_exact_tie
18003,4,4,4,1,1,0,unresolved_exact_tie
18087,2,2,2,1,1,0,unresolved_exact_tie
18088,2,2,2,92,93,0,unresolved_exact_tie
18089,2,2,2,1,1,0,unresolved_exact_tie
18125,4,4,4,1,1,0,unresolved_exact_tie
18132,2,2,2,1,1,0,unresolved_exact_tie
18169,4,4,4,1,1,0,unresolved_exact_tie
18178,2,2,2,1,1,0,unresolved_exact_tie
18186,2,2,2,5,8,0,unresolved_exact_tie
18193,2,2,2,1,1,0,unresolved_exact_tie
18230,2,2,2,1,1,0,unresolved_exact_tie
18231,2,2,2,1,1,0,unresolved_exact_tie
18237,3,3,3,1,1,0,unresolved_exact_tie
18263,2,2,2,1,1,0,unresolved_exact_tie
18276,4,4,4,1,1,0,unresolved_exact_tie
18341,2,2,2,39,46,0,unresolved_exact_tie
18358,2,2,2,1,1,0,unresolved_exact_tie
18379,3,3,3,1,1,0,unresolved_exact_tie
18416,2,2,2,1,1,0,unresolved_exact_tie
18425,2,2,2,1,1,0,unresolved_exact_tie
18469,2,2,2,1,1,0,unresolved_exact_tie
18480,2,2,2,1,1,0,unresolved_exact_tie
18493,2,2,2,37,44,0,unresolved_exact_tie
18496,2,2,2,1,1,0,unresolved_exact_tie
18545,2,2,2,1,1,0,unresolved_exact_tie
18583,2,2,2,1,1,0,unresolved_exact_tie
18584,2,2,2,1,1,0,unresolved_exact_tie
18591,2,2,2,1,1,0,unresolved_exact_tie
18614,2,2,2,1,1,0,unresolved_exact_tie
18632,2,2,2,1,1,0,unresolved_exact_tie
18670,2,2,2,1,1,0,unresolved_exact_tie
18753,2,2,2,1,1,0,unresolved_exact_tie
18763,2,2,2,1,1,0,unresolved_exact_tie
18771,9,9,9,47,55,1,unresolved_exact_tie
18782,2,2,2,1,1,0,unresolved_exact_tie
18804,2,2,2,1,1,0,unresolved_exact_tie
18811,2,2,2,1,1,0,unresolved_exact_tie
18818,2,2,2,1,1,0,unresolved_exact_tie
18856,2,2,2,1,1,0,unresolved_exact_tie
18868,2,2,2,89,90,0,unresolved_exact_tie
18869,2,2,2,1,1,0,unresolved_exact_tie
18871,2,2,2,1,1,0,unresolved_exact_tie
18888,2,2,2,1,1,0,unresolved_exact_tie
18935,2,2,2,1,1,0,unresolved_exact_tie
18939,2,2,2,1,1,0,unresolved_exact_tie
18952,5,5,5,51,52,0,unresolved_exact_tie
18978,6,6,6,1,1,0,unresolved_exact_tie
19043,2,2,2,1,1,0,unresolved_exact_tie
19126,6,6,6,1,1,0,unresolved_exact_tie
19162,6,6,6,1,1,0,unresolved_exact_tie
19215,3,3,3,1,1,0,unresolved_exact_tie
19235,2,2,2,67,77,0,unresolved_exact_tie
19261,2,2,2,221,231,0,unresolved_exact_tie
19293,2,2,2,1,1,0,unresolved_exact_tie
19298,2,2,2,92,93,1,unresolved_exact_tie
19340,2,2,2,1,1,0,unresolved_exact_tie
19362,4,4,4,1,1,0,unresolved_exact_tie
19363,2,2,2,1,1,0,unresolved_exact_tie
19390,2,2,2,1,1,0,unresolved_exact_tie
19482,2,2,2,1,1,0,unresolved_exact_tie
19541,5,5,5,1,1,0,unresolved_exact_tie
19544,2,2,2,59,65,0,unresolved_exact_tie
19546,2,2,2,59,65,0,unresolved_exact_tie
19547,2,2,2,59,65,0,unresolved_exact_tie
19548,2,2,2,59,65,0,unresolved_exact_tie
19549,2,2,2,59,65,0,unresolved_exact_tie
19579,2,2,2,1,1,0,unresolved_exact_tie
19585,2,2,2,1,1,0,unresolved_exact_tie
19601,2,2,2,71,78,0,unresolved_exact_tie
19614,2,2,2,1,1,0,unresolved_exact_tie
19628,2,2,2,1,1,0,unresolved_exact_tie
19632,2,2,2,1,1,0,unresolved_exact_tie
19713,2,2,2,1,1,0,unresolved_exact_tie
19739,2,2,2,1,1,0,unresolved_exact_tie
19741,2,2,2,1,1,0,unresolved_exact_tie
19779,2,2,2,69,83,0,unresolved_exact_tie
19850,2,2,2,107,109,0,unresolved_exact_tie
19869,2,2,2,1,1,0,unresolved_exact_tie
19880,3,3,3,56,57,0,unresolved_exact_tie
19984,2,2,2,1,1,0,unresolved_exact_tie
19994,2,2,2,1,1,0,unresolved_exact_tie
25069,2,2,2,1,1,0,unresolved_exact_tie
25086,2,2,2,1,1,0,unresolved_exact_tie
25092,2,2,2,50,67,0,unresolved_exact_tie
25139,2,2,2,1,1,0,unresolved_exact_tie
25192,2,2,2,1,1,0,unresolved_exact_tie
25242,2,2,2,1,1,0,unresolved_exact_tie
25288,2,2,2,1,1,0,unresolved_exact_tie
25298,4,4,4,1,1,0,unresolved_exact_tie
25372,2,2,2,1,1,0,unresolved_exact_tie
25398,2,2,2,1,1,0,unresolved_exact_tie
25454,2,2,2,1,1,0,unresolved_exact_tie
25483,2,2,2,1,1,0,unresolved_exact_tie
25485,2,2,2,1,1,0,unresolved_exact_tie
25527,2,2,2,1,1,0,unresolved_exact_tie
25545,2,2,2,1,1,0,unresolved_exact_tie
25593,2,2,2,1,1,0,unresolved_exact_tie
25645,2,2,2,1,1,0,unresolved_exact_tie
25693,2,2,2,22,31,0,unresolved_exact_tie
25710,2,2,2,1,1,0,unresolved_exact_tie
25731,2,2,2,1,1,0,unresolved_exact_tie
25750,3,3,3,1,1,0,unresolved_exact_tie
25793,2,2,2,1,1,0,unresolved_exact_tie
25883,2,2,2,1,1,0,unresolved_exact_tie
25899,2,2,2,1,1,0,unresolved_exact_tie
25958,2,2,2,1,1,0,unresolved_exact_tie
26068,2,2,2,1,1,0,unresolved_exact_tie
26821,4,4,4,1,1,0,unresolved_exact_tie
27211,13,12,12,1,1,0,unresolved_exact_tie
27239,2,2,2,1,1,0,unresolved_exact_tie
27242,2,2,2,1,1,0,unresolved_exact_tie
27284,2,2,2,1,1,0,unresolved_exact_tie
27313,2,2,2,1,1,0,unresolved_exact_tie
27432,2,2,2,1,1,0,unresolved_exact_tie
27468,12,12,12,172,185,0,unresolved_exact_tie
27893,2,2,2,169,175,0,unresolved_exact_tie
28042,2,2,2,113,136,0,unresolved_exact_tie
30005,2,2,2,44,47,0,unresolved_exact_tie
30017,2,2,2,1,1,0,unresolved_exact_tie
30021,5,5,5,51,53,0,unresolved_exact_tie
30074,2,2,2,1,1,0,unresolved_exact_tie
30081,8,8,8,1,1,0,unresolved_exact_tie
30082,8,8,8,1,1,0,unresolved_exact_tie
30083,8,8,8,1,1,0,unresolved_exact_tie
30084,8,8,8,1,1,0,unresolved_exact_tie
30085,8,8,8,1,1,0,unresolved_exact_tie
30086,8,8,8,1,1,0,unresolved_exact_tie
30094,2,2,2,1,1,0,unresolved_exact_tie
30192,2,2,2,1,1,0,unresolved_exact_tie
30194,4,4,4,1,1,0,unresolved_exact_tie
30234,2,2,2,1,1,0,unresolved_exact_tie
30245,2,2,2,1,1,0,unresolved_exact_tie
30295,2,2,2,1,1,0,unresolved_exact_tie
30308,2,2,2,1,1,0,unresolved_exact_tie
30345,2,2,2,80,83,0,unresolved_exact_tie
30353,2,2,2,167,168,0,unresolved_exact_tie
30374,2,2,2,1,1,0,unresolved_exact_tie
30375,3,3,3,1,1,0,unresolved_exact_tie
30404,4,4,4,1,1,0,unresolved_exact_tie
30456,2,2,2,432,443,0,unresolved_exact_tie
30478,2,2,2,1,1,0,unresolved_exact_tie
30493,2,2,2,31,34,0,unresolved_exact_tie
30503,6,6,6,1,1,0,unresolved_exact_tie
30543,4,4,4,1,1,0,unresolved_exact_tie
30573,3,3,3,1,1,0,unresolved_exact_tie
30574,3,3,3,1,1,0,unresolved_exact_tie
30602,2,2,2,1,1,0,unresolved_exact_tie
30661,2,2,2,1,1,0,unresolved_exact_tie
30662,2,2,2,66,85,0,unresolved_exact_tie
30663,2,2,2,44,65,0,unresolved_exact_tie
30664,2,2,2,44,85,0,unresolved_exact_tie
30677,2,2,2,1,1,0,unresolved_exact_tie
30678,3,3,3,45,56,0,unresolved_exact_tie
30696,2,2,2,1,1,0,unresolved_exact_tie
30737,2,2,2,1,1,0,unresolved_exact_tie
30768,2,2,2,1,1,0,unresolved_exact_tie
30855,3,3,3,79,90,0,unresolved_exact_tie
30856,3,3,3,175,197,0,unresolved_exact_tie
30874,2,2,2,88,105,0,unresolved_exact_tie
30929,6,6,6,1,1,0,unresolved_exact_tie
30930,6,6,6,1,1,0,unresolved_exact_tie
30939,5,5,5,33,34,0,unresolved_exact_tie
30974,2,2,2,53,64,0,unresolved_exact_tie
31007,2,2,2,1,1,0,unresolved_exact_tie
31034,3,3,3,108,109,1,unresolved_exact_tie
31058,5,5,5,33,34,0,unresolved_exact_tie
34037,2,2,2,1,1,0,unresolved_exact_tie
34040,2,2,2,1,1,0,unresolved_exact_tie
34049,2,2,2,1,1,0,unresolved_exact_tie
34093,2,2,2,106,109,0,unresolved_exact_tie
34102,2,2,2,1,1,0,unresolved_exact_tie
34105,2,2,2,106,109,0,unresolved_exact_tie
34108,3,3,3,1,1,0,unresolved_exact_tie
34115,2,2,2,79,87,1,unresolved_exact_tie
34120,2,2,2,1,1,0,unresolved_exact_tie
34122,2,2,2,18,23,0,unresolved_exact_tie
34154,2,2,2,1,1,0,unresolved_exact_tie
34160,2,2,2,1,1,0,unresolved_exact_tie
34163,2,2,2,1,1,0,unresolved_exact_tie
34164,2,2,2,1,1,0,unresolved_exact_tie
34178,5,5,5,53,78,0,unresolved_exact_tie
34188,2,2,2,1,1,0,unresolved_exact_tie
34290,2,2,2,1,1,0,unresolved_exact_tie
34334,2,2,2,1,1,0,unresolved_exact_tie
34446,2,2,2,1,1,0,unresolved_exact_tie
34447,2,2,2,1,1,0,unresolved_exact_tie
34448,2,2,2,1,1,0,unresolved_exact_tie
34457,2,2,2,95,97,0,unresolved_exact_tie
34473,2,2,2,1,1,0,unresolved_exact_tie
34475,2,2,2,1,1,0,unresolved_exact_tie
34487,3,3,3,1,1,0,unresolved_exact_tie
34494,2,2,2,1,1,0,unresolved_exact_tie
34495,2,2,2,1,1,0,unresolved_exact_tie
34511,2,2,2,1,1,0,unresolved_exact_tie
34515,2,2,2,1,1,0,unresolved_exact_tie
34522,2,1,1,1,1,0,unique_after_secondary_metrics
34551,2,2,2,1,1,0,unresolved_exact_tie
34629,2,2,2,1,1,0,unresolved_exact_tie
34698,2,2,2,1,1,0,unresolved_exact_tie
34709,2,2,2,1,1,0,unresolved_exact_tie
34719,2,2,2,1,1,0,unresolved_exact_tie
34785,3,3,3,1,1,0,unresolved_exact_tie
34813,3,3,3,1,1,0,unresolved_exact_tie
34814,2,2,2,1,1,0,unresolved_exact_tie
36045,2,2,2,1,1,0,unresolved_exact_tie
36049,5,5,5,58,81,0,unresolved_exact_tie
36064,2,2,2,1,1,0,unresolved_exact_tie
36294,2,2,2,1,1,0,unresolved_exact_tie
36312,2,2,2,223,239,1,unresolved_exact_tie
36395,2,2,2,1,1,0,unresolved_exact_tie
36527,2,2,2,1,1,0,unresolved_exact_tie
36528,2,2,2,1,1,0,unresolved_exact_tie
36582,2,2,2,1,1,0,unresolved_exact_tie
36671,2,2,2,35,47,0,unresolved_exact_tie
4430,4,4,4,1,1,0,unresolved_exact_tie
4590,2,2,2,1,1,0,unresolved_exact_tie
4679,2,2,2,158,165,0,unresolved_exact_tie
4682,2,2,2,1,1,0,unresolved_exact_tie
4900,2,2,2,1,1,0,unresolved_exact_tie
4906,2,2,2,1,1,0,unresolved_exact_tie
4911,2,2,2,1,1,0,unresolved_exact_tie
4912,2,2,2,1,1,0,unresolved_exact_tie
4929,2,2,2,1,1,0,unresolved_exact_tie
4935,2,2,2,1,1,0,unresolved_exact_tie
4954,4,4,4,1,1,0,unresolved_exact_tie
50007,2,2,2,67,72,0,unresolved_exact_tie
5022,2,2,2,1,1,0,unresolved_exact_tie
5031,2,2,2,1,1,0,unresolved_exact_tie
5041,2,2,2,1,1,0,unresolved_exact_tie
5042,2,2,2,1,1,0,unresolved_exact_tie
5049,2,2,2,1,1,0,unresolved_exact_tie
5078,2,2,2,29,31,0,unresolved_exact_tie
5101,2,2,2,1,1,0,unresolved_exact_tie
51073,2,1,1,1,1,0,unique_after_secondary_metrics
5129,2,2,2,1,1,0,unresolved_exact_tie
5141,2,2,2,1,1,0,unresolved_exact_tie
51520,2,2,2,65,93,0,unresolved_exact_tie
5172,2,2,2,1,1,0,unresolved_exact_tie
51723,14,14,14,108,119,0,unresolved_exact_tie
51799,3,3,3,1,1,0,unresolved_exact_tie
5181,2,2,2,1,1,0,unresolved_exact_tie
5185,2,2,2,1,1,0,unresolved_exact_tie
5189,2,2,2,101,102,0,unresolved_exact_tie
5203,2,2,2,1,1,0,unresolved_exact_tie
5206,2,2,2,91,92,0,unresolved_exact_tie
52075,2,2,2,1,1,0,unresolved_exact_tie
5208,2,2,2,183,190,0,unresolved_exact_tie
5209,2,2,2,183,190,0,unresolved_exact_tie
5225,2,2,2,1,1,0,unresolved_exact_tie
5238,3,2,2,1,1,0,unresolved_exact_tie
5261,2,2,2,1,1,0,unresolved_exact_tie
52953,2,2,2,1,1,0,unresolved_exact_tie
5297,2,2,2,1,1,0,unresolved_exact_tie
5303,3,3,3,1,1,0,unresolved_exact_tie
5304,2,2,2,1,1,0,unresolved_exact_tie
5319,2,2,2,1,1,0,unresolved_exact_tie
5345,4,4,4,1,1,0,unresolved_exact_tie
5365,2,2,2,101,114,0,unresolved_exact_tie
5377,4,4,4,1,1,0,unresolved_exact_tie
5387,3,3,3,1,1,0,unresolved_exact_tie
5390,2,2,2,57,61,0,unresolved_exact_tie
5392,2,2,2,83,84,1,unresolved_exact_tie
5403,66,5,5,71,74,0,unresolved_exact_tie
5461,8,8,8,54,59,0,unresolved_exact_tie
5465,2,2,2,1,1,0,unresolved_exact_tie
5472,2,2,2,1,1,0,unresolved_exact_tie
5473,2,2,2,1,1,0,unresolved_exact_tie
5511,4,4,4,177,188,0,unresolved_exact_tie
5532,2,2,2,144,145,0,unresolved_exact_tie
5544,8,4,4,1,1,0,unresolved_exact_tie
5557,2,2,2,1,1,0,unresolved_exact_tie
5567,2,2,2,1,1,0,unresolved_exact_tie
5604,2,2,2,1,1,0,unresolved_exact_tie
5621,2,2,2,1,1,0,unresolved_exact_tie
5654,4,4,4,1,1,0,unresolved_exact_tie
5688,8,8,8,1,1,0,unresolved_exact_tie
5689,2,2,2,1,1,0,unresolved_exact_tie
5720,2,2,2,1,1,0,unresolved_exact_tie
5729,2,1,1,61,62,0,unique_after_secondary_metrics
5746,2,2,2,1,1,0,unresolved_exact_tie
5753,2,2,2,1,1,0,unresolved_exact_tie
5769,2,2,2,1,1,0,unresolved_exact_tie
5771,3,3,3,1,1,0,unresolved_exact_tie
5791,2,2,2,1,1,0,unresolved_exact_tie
5824,4,4,4,1,1,0,unresolved_exact_tie
5842,2,2,2,1,1,0,unresolved_exact_tie
5843,2,2,2,1,1,0,unresolved_exact_tie
5844,2,2,2,1,1,0,unresolved_exact_tie
5845,2,2,2,1,1,0,unresolved_exact_tie
5873,2,2,2,1,1,0,unresolved_exact_tie
5882,6,3,3,65,81,0,unresolved_exact_tie
5891,2,2,2,1,1,0,unresolved_exact_tie
5892,2,2,2,1,1,0,unresolved_exact_tie
5905,5,4,4,1,1,0,unresolved_exact_tie
5908,5,4,4,65,66,0,unresolved_exact_tie
5909,2,2,2,63,64,0,unresolved_exact_tie
5910,2,2,2,31,32,0,unresolved_exact_tie
5928,2,2,2,1,1,0,unresolved_exact_tie
5929,2,2,2,1,1,0,unresolved_exact_tie
5933,2,2,2,31,34,0,unresolved_exact_tie
5935,2,2,2,190,221,0,unresolved_exact_tie
5956,2,2,2,1,1,0,unresolved_exact_tie
5961,2,2,2,1,1,0,unresolved_exact_tie
5975,4,4,4,1,1,0,unresolved_exact_tie
6011,2,2,2,110,111,1,unresolved_exact_tie
6029,3,3,3,34,39,0,unresolved_exact_tie
6075,2,2,2,1,1,0,unresolved_exact_tie
6111,2,2,2,1,1,0,unresolved_exact_tie
6190,2,2,2,131,164,0,unresolved_exact_tie
6201,2,2,2,1,1,0,unresolved_exact_tie
6233,3,3,3,1,1,0,unresolved_exact_tie
6298,2,2,2,1,1,0,unresolved_exact_tie
6317,2,2,2,1,1,0,unresolved_exact_tie
6324,2,2,2,87,107,0,unresolved_exact_tie
6331,2,2,2,1,1,0,unresolved_exact_tie
6336,2,1,1,1,1,0,unique_after_secondary_metrics
6342,2,2,2,1,1,0,unresolved_exact_tie
6362,2,2,2,1,1,0,unresolved_exact_tie
6395,4,4,4,1,1,0,unresolved_exact_tie
6396,2,2,2,103,104,1,unresolved_exact_tie
6410,2,2,2,1,1,0,unresolved_exact_tie
6444,2,2,2,1,1,0,unresolved_exact_tie
6475,2,2,2,29,33,0,unresolved_exact_tie
6478,2,2,2,52,53,0,unresolved_exact_tie
6484,2,2,2,98,101,0,unresolved_exact_tie
6507,2,1,1,1,1,0,unique_after_secondary_metrics
6508,2,2,2,1,1,0,unresolved_exact_tie
6516,2,2,2,1,1,0,unresolved_exact_tie
6519,2,2,2,1,1,0,unresolved_exact_tie
6527,2,2,2,1,1,0,unresolved_exact_tie
6531,4,4,4,1,1,0,unresolved_exact_tie
6532,4,4,4,1,1,0,unresolved_exact_tie
6551,3,3,3,1,1,0,unresolved_exact_tie
6560,2,1,1,1,1,0,unique_after_secondary_metrics
6581,2,2,2,1,1,0,unresolved_exact_tie
6625,3,3,3,1,1,0,unresolved_exact_tie
6726,3,3,3,1,1,0,unresolved_exact_tie
6743,4,4,4,1,1,0,unresolved_exact_tie
6751,2,2,2,1,1,0,unresolved_exact_tie
6762,2,2,2,1,1,0,unresolved_exact_tie
6781,2,2,2,1,1,0,unresolved_exact_tie
6790,2,2,2,1,1,0,unresolved_exact_tie
6809,2,2,2,1,1,0,unresolved_exact_tie
6821,2,2,2,1,1,0,unresolved_exact_tie
6822,2,2,2,1,1,0,unresolved_exact_tie
6826,2,2,2,1,1,0,unresolved_exact_tie
6860,2,2,2,1,1,0,unresolved_exact_tie
6868,2,2,2,101,123,0,unresolved_exact_tie
6888,2,2,2,113,122,0,unresolved_exact_tie
6916,3,3,3,1,1,0,unresolved_exact_tie
6925,2,2,2,1,1,0,unresolved_exact_tie
6957,2,2,2,1,1,0,unresolved_exact_tie
6969,3,3,3,1,1,0,unresolved_exact_tie
6997,2,2,2,1,1,0,unresolved_exact_tie
6999,2,2,2,1,1,0,unresolved_exact_tie
7019,2,2,2,1,1,0,unresolved_exact_tie
7101,2,2,2,57,62,0,unresolved_exact_tie
7102,2,2,2,12,13,0,unresolved_exact_tie
7106,2,2,2,134,151,0,unresolved_exact_tie
7125,2,2,2,1,1,0,unresolved_exact_tie
7127,2,2,2,1,1,0,unresolved_exact_tie
7150,2,2,2,101,102,0,unresolved_exact_tie
7205,2,2,2,1,1,0,unresolved_exact_tie
7285,2,2,2,1,1,0,unresolved_exact_tie
7288,2,2,2,1,1,0,unresolved_exact_tie
7315,2,2,2,1,1,0,unresolved_exact_tie
7350,2,2,2,1,1,0,unresolved_exact_tie
7354,2,2,2,1,1,0,unresolved_exact_tie
7362,2,2,2,1,1,0,unresolved_exact_tie
7376,2,2,2,95,106,0,unresolved_exact_tie
