candidate_pair_rank,bmrb_id,pdb_id
142,4652,1EDX
143,4653,1EDW
144,4654,1EDV
145,4655,1EDS
146,4656,1G26
147,4663,1C3T
148,4667,1DEY
149,4669,1CWX
150,4679,1FLS
151,4679,1FM1
152,4682,1EII
153,4692,1EL2
154,4725,1J5M
155,4738,1FA4
156,4738,1FAF
157,4743,1EHJ
158,4743,1LM2
159,4745,1K8S
160,4754,1J5L
161,4760,1C49
162,4776,1QXN
163,4778,1FI6
164,4798,1FPW
165,4815,1FFJ
166,4816,1JO7
167,4837,1E8E
168,4838,1L4W
169,4838,1LJZ
170,4845,1E74
171,4846,1E75
172,4847,1E76
173,4850,1FOV
174,4862,1F8P
175,4862,1FVN
176,4869,1LWM
177,4872,1FMH
178,4879,1IJA
179,4880,1H67
180,4884,1G47
181,4890,1G25
182,4891,1G6M
183,4892,1M31
184,4893,1KVZ
185,4894,1EKZ
186,4895,1G6P
187,4899,1G5V
188,4900,1HEH
189,4900,1HEJ
190,4902,1RJA
191,4906,1HF9
192,4907,1FJP
193,4910,1HDL
194,4911,1F96
195,4912,1F3C
196,4914,1HFF
197,4914,1HFG
198,4914,1HFN
199,4915,1G9L
200,4916,1GEA
201,4917,1BV2
202,4919,1G7E
203,4920,2M66
204,4921,1G92
205,4923,1G9P
206,4924,1HP2
207,4925,1EYF
208,4927,1N02
209,4929,1XDX
210,4930,1PS2
211,4933,1PS2
212,4935,1KVN
213,4935,1KVV
214,4938,1I17
215,4939,1FU9
216,4941,1JJR
217,4945,1HS7
218,4946,1HZK
219,4947,1HZL
220,4948,1HOY
221,4950,1QA4
222,4951,1QA5
223,4954,1HZE
224,4954,1I18
225,4957,1I1S
226,4958,2NBI
227,4959,1INZ
228,4960,1FI3
229,4966,1I02
230,4972,1K1C
231,4977,1N89
232,4979,1HA8
233,4980,1QWQ
234,4984,1KOS
235,4986,9PGN
236,4988,1I25
237,4989,1HY8
238,4991,1ILO
239,4993,1IH9
240,4994,1IH0
241,4995,1IHQ
242,4996,1IIO
243,4997,1JCO
244,5004,1IK0
245,5006,1JBD
246,5007,1HWQ
247,5007,1J6Q
248,5010,1JAJ
249,5012,1J7M
250,5018,1ICH
251,5020,1I98
252,5021,1I8E
253,5022,1I4V
254,5023,1I4C
255,5024,1IDL
256,5025,1IDH
257,5026,1I5T
258,5026,1M60
259,5027,1J8K
260,5028,1IB9
261,5030,1TUJ
262,5031,1M2E
263,5031,1M2F
264,5033,1I2U
265,5033,1I2V
266,5034,1HU6
267,5034,1HU7
268,5036,1I11
269,5037,1HU5
270,5038,1JAS
271,5041,1IMO
272,5041,1IN1
273,5042,1J8I
274,5042,1J9O
275,5043,1H9F
276,5044,1IE5
277,5046,1IDV
278,5047,1JBI
279,5048,1JBH
280,5049,1N6U
281,5049,1N6V
282,5050,1JC6
283,5051,1JCU
284,5052,1JE9
285,5053,1IFW
286,5054,1JKN
287,5055,1IMU
288,5059,1JE3
289,5060,1JDQ
290,5065,1IBI
291,5066,1JI9
292,5070,1JH3
293,5071,1JC2
294,5072,1JBJ
295,5073,1JE4
296,5074,1JEI
297,5075,1JFN
298,5077,1JJG
299,5078,1K8M
300,5078,1K8O
301,5082,1JLZ
302,5083,1JJJ
303,5084,1JH4
304,5085,1JGN
305,5086,1AYG
306,5091,1JEX
307,5092,1JO6
308,5094,1JJL
309,5094,1K19
310,5096,1JN7
311,5097,1IJC
312,5100,1J2O
313,5101,1GJZ
314,5104,1JRM
315,5106,1RYJ
316,5108,1JAA
317,5109,1J9V
318,5110,1J8Z
319,5111,1J8N
320,5112,1JLP
321,5113,1JLO
322,5114,1JJZ
323,5114,1K48
324,5115,1JI8
325,5116,1JI8
326,5117,2PJF
327,5120,1GK5
328,5122,1JWE
329,5129,1IQO
330,5129,1IQS
331,5130,1IY4
332,5131,1GM1
333,5134,1JS5
334,5134,1JS7
335,5135,1JRV
336,5135,1JRW
337,5136,1JDK
338,5137,1JD8
339,5138,1JCP
340,5139,1JC8
341,5140,1JAR
342,5141,1T4Y
343,5141,1T4Z
344,5142,1IY3
345,5145,1LG4
346,5147,1JJD
347,5148,1JQ4
348,5151,1FD6
349,5152,1FCL
350,5154,1D2B
351,5155,1JRU
352,5157,1J5B
353,5159,1XKE
354,5162,1MP1
355,5164,1JUU
356,5165,1JW3
357,5166,1JW2
358,5167,1JVE
359,5169,1JNJ
360,5170,1JU7
361,5170,1JWC
362,5171,1JV8
363,5171,1JV9
364,5172,1K3G
365,5172,1K3H
366,5173,1K36
367,5173,1K37
368,5174,1IRZ
369,5175,1K5O
370,5176,1HA9
371,5177,1TVJ
372,5178,1K85
373,5179,1K1Z
374,5180,1HBW
375,5181,1K42
376,5181,1K45
377,5183,1K09
378,5184,1J5J
379,5184,1LGL
380,5185,1KAT
381,5187,1V4R
382,5188,1IRR
383,5189,1NSH
384,5192,1K8V
385,5193,1JZC
386,5194,1K5W
387,5196,1JZP
388,5199,1KG1
389,5201,1I6Y
390,5202,2ILX
391,5203,1KBE
392,5203,1KBF
393,5204,1K9C
394,5205,1K91
395,5206,1UWO
396,5207,1KCY
397,5208,1BNP
398,5208,1BPD
399,5208,1BPE
400,5208,1BPX
401,5209,1BNP
402,5209,1BPD
403,5209,1BPE
404,5209,1BPX
405,5209,1XNT
406,5210,1K7B
407,5211,1KA7
408,5212,1KA6
409,5213,1K0V
410,5214,1D0W
411,5215,1D1E
412,5216,1D1F
413,5217,1KFT
414,5220,1K0X
415,5225,1JNS
416,5225,1JNT
417,5232,1KXL
418,5236,1KN7
419,5238,1KMX
420,5238,1VGH
421,5238,2VGH
422,5241,1RQM
423,5242,1KN6
424,5243,1IR5
425,5245,1K1R
426,5246,1KMF
427,5252,1KKV
428,5253,1KKW
429,5255,1WKT
430,5256,1KKA
431,5257,1HJ0
432,5259,1KKA
433,5261,1J57
434,5261,1KTU
435,5262,1CK7
436,5262,1KS0
437,5264,1KJ6
438,5265,1KV4
439,5266,1KTM
440,5268,1CIX
441,5272,1KGM
442,5273,1KIO
443,5275,1KQR
444,5275,1KRI
445,5276,1KMA
446,5277,1KMR
447,5278,1KPY
448,5278,1KPZ
449,5279,1KWJ
450,5279,1L3O
451,5282,1KR8
452,5282,1PQT
453,5283,1KZS
454,5283,1KZT
455,5283,1KZV
456,5284,1KZW
457,5285,1KZX
458,5289,1KZ0
459,5290,1KZ2
460,5291,1KZ5
461,5292,1L2Y
462,5293,1BTA
463,5293,1L1K
464,5294,1K81
465,5294,1K8B
466,5297,1L2M
467,5297,1L5I
468,5298,1L1P
469,5299,1KLQ
470,5301,1KYJ
471,5302,1KUW
472,5303,1J56
473,5303,1KRW
474,5303,1KRX
475,5304,1KX2
476,5304,1KX7
477,5306,1L3E
478,5308,1M7T
479,5309,1M3V
480,5310,2PLD
481,5312,1NEE
482,5315,1L4S
483,5316,1L6N
484,5317,1ITY
485,5318,2PLD
486,5319,1JBH
487,5319,1KGL
488,5320,1JJX
489,5321,1L1W
490,5323,1L1I
491,5326,1L6T
492,5327,1L8C
493,5328,1L7B
494,5329,1L7Y
495,5330,1JBH
496,5330,1KGL
497,5331,1JBH
498,5331,1KGL
499,5332,1JSA
500,5332,1LA3
501,5333,1IT1
502,5333,2CDV
503,5335,1LV3
504,5337,1CJE
505,5338,1L3Y
506,5339,1K2K
507,5340,2BID
508,5345,1L1M
509,5346,1L3X
510,5347,1O1W
511,5348,1IW4
512,5349,1LFU
513,5353,1LKJ
514,5354,1LL8
515,5356,1LQ7
516,5357,1LKN
517,5361,1IV6
518,5363,1LO1
519,5364,1GO5
520,5365,2A3S
521,5365,2D2W
522,5366,1KMD
523,5369,1LIQ
524,5370,1LEJ
525,5371,1LC6
526,5372,1LC1
527,5372,1LC2
528,5375,1LD6
529,5376,1LVZ
530,5377,1UWO
531,5377,2PRU
532,5379,1LJV
533,5381,1LD5
534,5383,1LV9
535,5385,1N2W
536,5386,1LXF
537,5387,1D3Z
538,5387,1G6J
539,5387,1UBQ
540,5389,1N3G
541,5390,1LR1
542,5392,1L8Y
543,5392,1L8Z
544,5394,1LPW
545,5395,1LMV
546,5396,1LUD
547,5398,1LMZ
548,5399,1SXE
549,5401,1SXD
550,5403,1C9S
551,5403,1GTF
552,5403,1GTN
553,5405,1M25
554,5407,1LM0
555,5409,1QM9
556,5410,1MPZ
557,5454,1LBJ
558,5457,1PD7
559,5459,1IYM
560,5461,1LUI
561,5461,1LUK
562,5461,1LUM
563,5461,1LUN
564,5463,1LV4
565,5464,1M36
566,5465,1M12
567,5465,1SN6
568,5466,1LMS
569,5467,1RI9
570,5469,1IY5
571,5470,1IY6
572,5472,1M8B
573,5472,1M8C
574,5473,1M8B
575,5473,1M8C
576,5475,1M9W
577,5480,1SY9
578,5481,1M94
579,5482,1MJD
580,5485,1GO0
581,5486,1MA2
582,5486,1MA4
583,5486,1MA5
584,5486,1MA6
585,5487,1MA2
586,5487,1MA4
587,5487,1MA5
588,5487,1MA6
589,5488,1MA2
590,5488,1MA4
591,5488,1MA5
592,5488,1MA6
593,5489,1MA2
594,5489,1MA4
595,5489,1MA5
596,5489,1MA6
597,5491,1IYC
598,5494,1M02
599,5495,1LMM
600,5498,1K4U
601,5499,1M5Z
602,5500,1IYF
603,5501,1M4F
604,5502,1M4E
605,5503,1M39
606,5506,1NWV
607,5511,1E96
608,5511,1FOE
609,5511,1G4U
610,5511,1HE1
611,5511,1HH4
612,5511,1I4D
613,5511,1I4T
614,5516,1RSF
615,5525,1M9O
616,5527,1MB6
617,5528,1M82
618,5529,1M9G
619,5530,1LUX
620,5531,1LUU
621,5532,1M4P
622,5532,1M4Q
623,5535,1MSZ
624,5536,1RKN
625,5538,1H3Z
626,5542,1OMQ
627,5544,1B4C
628,5544,1DT7
629,5544,1MWN
630,5544,1QLK
631,5545,1RMJ
632,5551,1H0Z
633,5552,1M3G
634,5553,1MFY
635,5554,1MKE
636,5555,1MM2
637,5556,1MM3
638,5557,1MM4
639,5557,1MM5
640,5558,1H5P
641,5560,1RDU
642,5561,1O6X
643,5562,1N1K
644,5564,1MZK
645,5565,1XHH
646,5566,1N3H
647,5567,1N3J
648,5570,1Q27
649,5574,1MYU
650,5575,1MXQ
651,5576,1MO8
652,5577,1MO7
653,5578,1MX8
654,5579,1MX7
655,5580,1MQZ
656,5581,1MQX
657,5582,1MQY
658,5583,1L3H
659,5585,1MTQ
660,5586,1MV1
661,5587,1MV2
662,5588,1MV1
663,5589,1NXI
664,5596,1N91
665,5597,1N9C
666,5598,1OP1
667,5598,1OV2
668,5599,1RW5
669,5601,1ZRP
670,5604,1MWY
671,5604,1MWZ
672,5607,1MOT
673,5608,1NXN
674,5609,1N1U
675,5610,1MV4
676,5611,1N6T
677,5612,1N4N
678,5613,1N09
679,5614,1MUV
680,5616,1O6W
681,5617,1MVZ
682,5620,1NE3
683,5621,1NEI
684,5622,1NHO
685,5624,1ND9
686,5625,1A2I
687,5625,2BPN
688,5625,2CTH
689,5631,1N7T
690,5632,1NA2
691,5633,1J0T
692,5652,1NE5
693,5653,1J0T
694,5654,1MPE
695,5655,1NC0
696,5657,1NR3
697,5659,2IN2
698,5660,1AKK
699,5664,1NQ4
700,5667,1N0Z
701,5668,1NKU
702,5669,1NJ3
703,5670,1NBL
704,5671,1NAJ
705,5672,1NH5
706,5673,1NAU
707,5674,1NIY
708,5675,1NIX
709,5676,1N8M
710,5677,1K05
711,5677,1K40
712,5677,1KTM
713,5678,1S7E
714,5681,1N96
715,5683,1NWB
716,5688,1N5H
717,5688,1N5P
718,5689,1QWV
719,5689,1TWO
720,5690,1JE9
721,5690,1NOR
722,5691,1NY4
723,5694,1UAO
724,5695,1NYN
725,5696,1RGW
726,5698,1NMR
727,5701,1R6E
728,5701,1R9K
729,5702,1AXH
730,5705,2KOC
731,5706,1NY9
732,5708,1O53
733,5710,1OQK
734,5713,1HJM
735,5714,1ONM
736,5716,1K8J
737,5716,1K8L
738,5716,1K8N
739,5717,1K8J
740,5717,1K8L
741,5717,1K8N
742,5718,1K8J
743,5718,1K8L
744,5718,1K8N
745,5719,1S79
746,5720,1AKE
747,5722,1OQP
748,5729,1K76
749,5729,1KFZ
750,5730,1N8C
751,5735,1NMJ
752,5737,1NP9
753,5738,1NPQ
754,5739,1N1N
755,5742,1ON4
756,5744,1XQ8
757,5745,1HKO
758,5746,1AKE
759,5747,1NVO
760,5748,1RYU
761,5750,1OSX
762,5753,1NG7
763,5757,1K1C
764,5758,1OVQ
765,5764,1NO8
766,5765,1SU4
767,5766,1NZP
768,5767,1ORL
769,5768,1OQ6
770,5769,1OPZ
771,5769,1OQ3
772,5770,1NWD
773,5771,1E9T
774,5771,1PE3
775,5773,1N8X
776,5775,1NTQ
777,5776,1NTS
778,5777,1NTT
779,5779,1NNV
780,5780,1UCP
781,5781,1OO7
782,5785,1OO9
783,5786,1OP4
784,5787,1Z5F
785,5790,1NWB
786,5791,1OSL
787,5796,1PA4
788,5798,1NY8
789,5801,1P9J
790,5807,1VD0
791,5808,1PD7
792,5813,1P6T
793,5815,1NH4
794,5817,1PB5
795,5818,1P9K
796,5820,1PJZ
797,5821,1JMC
798,5822,1JMC
799,5823,1JMC
800,5824,1Q6A
801,5824,1Q6B
802,5833,1R3B
803,5834,1PJY
804,5836,1POQ
805,5839,2IGD
806,5839,2IGH
807,5841,1MZK
808,5842,1Q48
809,5842,1R9P
810,5843,1Q53
811,5844,2M6Q
812,5844,2M8W
813,5845,1R57
814,5845,2H5M
815,5847,1PV0
816,5848,1UGL
817,5849,1UFM
818,5850,1P8A
819,5851,1P7A
820,5852,1OW9
821,5859,1PP5
822,5860,1PXQ
823,5861,1RFL
824,5864,1P9F
825,5865,1PVZ
826,5866,1PPX
827,5867,1UHF
828,5868,1PVE
829,5869,1PQR
830,5870,1UGT
831,5873,1P6R
832,5873,2P7C
833,5874,1JRU
834,5874,1VAZ
835,5875,1Q1O
836,5876,1JRU
837,5876,1V92
838,5877,1PJF
839,5877,1ZN5
840,5878,1SSF
841,5879,1Q5F
842,5880,1UHU
843,5881,1Q2J
844,5882,2KA3
845,5882,2OII
846,5885,1PZQ
847,5885,1PZR
848,5891,1XSX
849,5892,2A2Y
850,5899,1PUX
851,5900,1PPQ
852,5901,1PXE
853,5902,1H3Z
854,5902,1RI0
855,5902,2NLU
856,5903,2I83
857,5905,1AZP
858,5905,1AZQ
859,5905,1C8C
860,5905,1CA5
861,5905,1CA6
862,5905,1SAP
863,5907,1RW2
864,5908,1AZP
865,5908,1AZQ
866,5908,1C8C
867,5908,1CA5
868,5908,1CA6
869,5908,1SAP
870,5909,1BBX
871,5909,1BF4
872,5909,1BNZ
873,5909,1C8C
874,5909,1CA5
875,5909,1CA6
876,5909,1JIC
877,5909,1SSO
878,5910,1BBX
879,5910,1BF4
880,5910,1BNZ
881,5910,1C8C
882,5910,1CA5
883,5910,1CA6
884,5910,1JIC
885,5910,1SSO
886,5911,1Q2F
887,5911,1Q2I
888,5912,1Q2Z
889,5913,1PE4
890,5914,1PLX
891,5915,1PLW
892,5917,1Q8K
893,5919,1MNX
894,5920,1UMQ
895,5922,1UJL
896,5923,2A37
897,5924,1QVX
898,5925,2A36
899,5926,1RWD
900,5927,1PQQ
901,5928,1VDY
902,5928,2DCP
903,5929,1VEE
904,5929,2DCQ
905,5932,1Q75
906,5933,1X9X
907,5934,1Q7O
908,5935,1BIF
909,5935,1TIP
910,5937,1Q7X
911,5938,1G89
912,5938,1QX9
913,5938,1QXQ
914,5939,2JP2
915,5940,2ARW
916,5941,1G89
917,5941,1QX9
918,5941,1QXQ
919,5944,1Q68
920,5945,1Q69
921,5946,2FVN
922,5947,1RXL
923,5948,1Q7J
924,5949,1Q7I
925,5950,2BN8
926,5956,1R05
927,5958,1V49
928,5960,2H3Q
929,5961,2FYJ
930,5961,2FYL
931,5962,1R2P
932,5963,2APN
933,5964,1UNC
934,5965,1UNC
935,5966,1UND
936,5967,1Q9P
937,5968,1QZP
938,5969,1O5P
939,5970,1OVY
940,5971,1Z66
941,5972,1R48
942,5975,1R2U
943,5975,1R6P
944,5977,1R73
945,5978,1R7C
946,5978,1R7D
947,5978,1R7E
948,5978,1R7F
949,5978,1R7G
950,5979,1R2L
951,5981,1YHO
952,5985,1UL2
953,5986,1V28
954,5987,1R8U
955,5988,1RGJ
956,5989,5NPN
957,5991,1R36
958,5992,2A4J
959,5994,1R02
960,5994,1WSO
961,5998,2F1E
962,6001,1XWE
963,6002,1RG6
964,6004,1Q8G
965,6005,1RGO
966,6006,1V46
967,6007,1RJH
968,6009,1RDE
969,6010,1RHX
970,6011,1RJJ
971,6012,1RL1
972,6014,2DDY
973,6015,2AVG
974,6017,1V4Z
975,6018,1V50
976,6020,1RKK
977,6022,1Q8L
978,6024,1ERM
979,6024,1ERO
980,6027,1R9I
981,6028,1RQ6
982,6029,1SVJ
983,6029,1U7Q
984,6029,2A29
985,6030,2A29
986,6032,1WM4
987,6034,1QTS
988,6037,1RJI
989,6037,1WT8
990,6038,1RJT
991,6039,1R9V
992,6040,1RG3
993,6040,1RG4
994,6041,1QVK
995,6041,1QVL
996,6042,1RFR
997,6043,2P80
998,6044,1S7A
999,6045,1S04
1000,6046,1S6N
1001,6047,1S6L
1002,6049,1RK9
1003,6052,1SGO
1004,6053,1ADN
1005,6054,1ADN
1006,6056,1RKL
1007,6058,1RZW
1008,6059,1RFH
1009,6060,1GM1
1010,6060,1VJ6
1011,6062,1S2F
1012,6062,1S34
1013,6063,1RIM
1014,6064,1RIK
1015,6066,1RYV
1016,6067,1RYG
1017,6068,1RU5
1018,6068,1RUU
1019,6069,1RY3
1020,6070,1V6R
1021,6072,1V66
1022,6073,1U3N
1023,6075,1Z2D
1024,6075,1Z2E
1025,6076,1R7W
1026,6077,1R7Z
1027,6079,1TI3
1028,6081,2JNF
1029,6082,1S6D
1030,6083,1S4T
1031,6084,1SQ8
1032,6085,1S6W
1033,6088,1RIJ
1034,6089,1SIY
1035,6090,2GT3
1036,6091,1GM1
1037,6092,1GM1
1038,6093,1POZ
1039,6095,1SB0
1040,6096,1RHW
1041,6101,1S1O
1042,6102,1RWU
1043,6103,1S6J
1044,6104,1S6I
1045,6105,1S4A
1046,6106,1S4J
1047,6107,1S4H
1048,6108,1RRZ
1049,6109,1S8K
1050,6110,1UUC
1051,6111,1Z2F
1052,6114,1OQA
1053,6120,1T17
1054,6121,2DHS
1055,6122,1SLJ
1056,6122,1SMX
1057,6123,1HEV
1058,6123,1Q9B
1059,6123,1T0W
1060,6126,1RY4
1061,6127,1SE7
1062,6128,1SE9
1063,6129,1S6U
1064,6130,1S6O
1065,6131,1SH4
1066,6134,1SA8
1067,6135,1RMK
1068,6137,1SM7
1069,6138,1T0G
1070,6139,1SS3
1071,6150,2POA
1072,6151,1SMZ
1073,6152,1SJ6
1074,6154,1VD9
1075,6155,1VDA
1076,6156,1VD7
1077,6156,1VDB
1078,6157,1VD8
1079,6158,1SN6
1080,6159,2B1O
1081,6160,1SSU
1082,6161,1UST
1083,6162,1USS
1084,6165,1SSL
1085,6166,1SS2
1086,6167,1SNL
1087,6168,1SKL
1088,6169,1SKK
1089,6170,1SKI
1090,6171,1SRZ
1091,6172,1SB6
1092,6173,2LP6
1093,6175,1SZL
1094,6176,1T0Y
1095,6177,1SJR
1096,6178,1SJQ
1097,6179,1UVF
1098,6180,1UVG
1099,6185,1RZS
1100,6186,1SY8
1101,6187,1SF0
1102,6188,1ST7
1103,6189,1SS6
1104,6190,1SO9
1105,6190,1SP0
1106,6191,1SX0
1107,6191,1SX1
1108,6192,1AXH
1109,6194,1AXH
1110,6197,2BTT
1111,6198,1T3V
1112,6200,1SP7
1113,6201,1T6W
1114,6203,1T1P
1115,6204,1T1K
1116,6205,1T1Q
1117,6208,1TUZ
1118,6209,1TIZ
1119,6211,1TDP
1120,6216,1SRK
1121,6217,1T55
1122,6218,1T54
1123,6219,1T52
1124,6220,1T51
1125,6221,1XSF
1126,6222,1T1T
1127,6225,2GS0
1128,6226,2RST
1129,6227,1BTA
1130,6231,2GO0
1131,6233,1YX4
1132,6233,1YX5
1133,6233,1YX6
1134,6235,2N1T
1135,6236,1TKN
1136,6238,1TOT
1137,6241,1YZB
1138,6244,1TM9
1139,6245,1T5Q
1140,6246,1T5M
1141,6247,1TH5
1142,6248,1TTV
1143,6254,1TXE
1144,6259,1TVM
1145,6260,1U0I
1146,6261,1W1F
1147,6262,1TK7
1148,6263,1SPW
1149,6264,1TV0
1150,6264,2GW9
1151,6265,1T1H
1152,6266,1TL4
1153,6268,1U2N
1154,6269,1U3M
1155,6272,1Z9V
1156,6282,1U5L
1157,6284,2HAJ
1158,6285,1U89
1159,6286,1XC5
1160,6287,1SXD
1161,6289,1TM6
1162,6290,1T2Y
1163,6293,1WNM
1164,6294,1WNN
1165,6295,1TVC
1166,6296,1WNK
1167,6298,1TEY
1168,6298,2IIJ
1169,6299,1U5M
1170,6300,1U3O
1171,6301,1U2U
1172,6302,1U7M
1173,6303,1U7J
1174,6307,1U64
1175,6311,2AFJ
1176,6312,1W7D
1177,6313,1GM0
1178,6313,1LS8
1179,6313,1XFR
1180,6315,1U6F
1181,6317,2GZU
1182,6318,1XFL
1183,6320,1XHP
1184,6321,1XFN
1185,6322,1XFQ
1186,6324,1X9A
1187,6325,1WO7
1188,6326,1WO6
1189,6327,1WO5
1190,6328,1WO4
1191,6329,1WO3
1192,6330,1XSA
1193,6331,1WQU
1194,6331,2DCR
1195,6333,2XV9
1196,6335,1XJH
1197,6336,1XSB
1198,6336,1XSC
1199,6337,1XO3
1200,6338,2EVN
1201,6339,1XO8
1202,6341,1XOY
1203,6342,1XOX
1204,6343,1XPN
1205,6344,1XPW
1206,6347,1WPD
1207,6349,1XRD
1208,6350,1WRG
1209,6354,1TQZ
1210,6355,1XHJ
1211,6356,2GA5
1212,6357,1ERM
1213,6357,1ERO
1214,6358,1XS3
1215,6359,1XS8
1216,6362,1XJS
1217,6362,2AZH
1218,6365,1XN6
1219,6366,1ZTS
1220,6367,1XN7
1221,6369,1XN5
1222,6370,1WQK
1223,6374,1XWH
1224,6376,2BVB
1225,6377,1XYJ
1226,6378,1XYK
1227,6380,1XYQ
1228,6381,1XYU
1229,6382,1XU0
1230,6383,1XYW
1231,6384,1XUT
1232,6386,1Y1B
1233,6387,1Y1C
1234,6388,1XV3
1235,6389,1WT7
1236,6390,2AGM
1237,6392,1O7B
1238,6393,1O7C
1239,6395,1YR1
1240,6395,2ALJ
1241,6396,1Y4O
1242,6398,1Y9O
1243,6399,1HH8
1244,6400,2F76
1245,6401,2F77
1246,6402,1Y00
1247,6403,1Y2S
1248,6407,2FK4
1249,6410,1Z7P
1250,6410,1Z7R
1251,6416,1UIV
1252,6419,1XU6
1253,6420,1XT7
1254,6421,1XXZ
1255,6422,1XY4
1256,6423,1XY5
1257,6424,1XY6
1258,6425,1XY8
1259,6426,1XY9
1260,6427,1Y03
1261,6427,1Y04
1262,6434,1Z1Z
1263,6437,2GMC
1264,6437,2GMD
1265,6438,2J48
1266,6443,1YDU
1267,6444,1YCM
1268,6444,1Z3J
1269,6446,1Y4E
1270,6447,1Y7X
1271,6448,1XHS
1272,6454,2AVX
1273,6456,1WA7
1274,6457,2MOR
1275,6459,1YIU
1276,6462,1Y5C
1277,6463,1Y58
1278,6464,1YEL
1279,6465,2AIZ
1280,6467,1WXN
1281,6468,2LGC
1282,6474,1MZK
1283,6475,2BGO
1284,6475,2BGP
1285,6476,1YQA
1286,6477,1YMO
1287,6478,1YFB
1288,6479,1Y6U
1289,6480,1YJV
1290,6481,1YJU
1291,6482,1YJT
1292,6483,1YJR
1293,6484,2CXJ
1294,6489,1WU0
1295,6493,2A3J
1296,6498,1YSM
1297,6499,1XKM
1298,6505,1YEZ
1299,6506,2CA7
1300,6507,1WUM
1301,6507,1ZS5
1302,6508,1WUG
1303,6508,1ZS5
1304,6509,1YG3
1305,6509,1YG4
1306,6510,1YXE
1307,6511,1YT6
1308,6516,2FQ0
1309,6516,2FQ2
1310,6519,1YX7
1311,6519,1YX8
1312,6520,2BIC
1313,6527,1Z09
1314,6529,2LVF
1315,6530,1YMZ
1316,6531,1YUT
1317,6531,1YUU
1318,6532,1YUR
1319,6532,1YUS
1320,6536,2GTJ
1321,6539,2GTO
1322,6540,2AXL
1323,6543,1Z2J
1324,6549,2QMV
1325,6551,1Z00
1326,6551,2AQ0
1327,6552,1YZC
1328,6553,1YZA
1329,6554,1Z0Q
1330,6555,1YWS
1331,6556,1YYB
1332,6557,1WZ4
1333,6558,1YWJ
1334,6559,1YWI
1335,6560,1YYJ
1336,6560,1YYX
1337,6561,1YTR
1338,6562,1Z30
1339,6564,2BO5
1340,6570,1ZZP
1341,6573,1YXR
1342,6574,1YVC
1343,6580,2BBU
1344,6581,2OI3
1345,6581,2OJ2
1346,6589,1X32
1347,6591,1MMC
1348,6594,1Z2Q
1349,6596,1ZA8
