sequence_a_bmrb_id,sequence_a_pdb_id,sequence_a_chain_id,sequence_a_length,sequence_b_bmrb_id,sequence_b_pdb_id,sequence_b_chain_id,sequence_b_length,global_identity,exact_matches,alignment_columns,mismatches,sequence_a_gap_columns,sequence_b_gap_columns,alignment_score,identity_threshold,component_edge
4232,1ZAC,A,90,4706,1CX1,A,153,0.2356687898089172,37,157,49,67,4,-83,0.4,False
4232,1ZAC,A,90,4716,1N4C,A,182,0.2204301075268817,41,186,45,96,4,-104,0.4,False
4232,1ZAC,A,90,4717,1F7W,A,144,0.2709677419354839,42,155,37,65,11,-71,0.4,False
4232,1ZAC,A,90,4735,1JYT,A,163,0.2455089820359281,41,167,45,77,4,-85,0.4,False
4232,1ZAC,A,90,4751,1IVM,A,130,0.2030075187969924,27,133,60,43,3,-79,0.4,False
4232,1ZAC,A,90,4775,1DUJ,A,187,0.2,38,190,49,100,3,-114,0.4,False
4232,1ZAC,A,90,4779,1PLO,A,122,0.2283464566929134,29,127,56,37,5,-69,0.4,False
4232,1ZAC,A,90,4791,1JR6,A,138,0.25,36,144,48,54,6,-72,0.4,False
4232,1ZAC,A,90,4797,1KD6,A,179,0.2131147540983606,39,183,47,93,4,-105,0.4,False
4232,1ZAC,A,90,4814,1LS4,A,164,0.2058823529411764,35,170,49,80,6,-100,0.4,False
4232,1ZAC,A,90,4825,1M58,A,106,0.25,28,112,56,22,6,-56,0.4,False
4232,1ZAC,A,90,4841,1E91,A,85,0.2718446601941747,28,103,44,13,18,-47,0.4,False
4264,3EZA,A,249,4373,1FHO,A,119,0.2151394422310757,54,251,63,2,132,-143,0.4,False
4264,3EZA,A,249,4391,1JGK,A,66,0.1513944223107569,38,251,26,2,185,-175,0.4,False
4264,3EZA,A,249,4394,2IFE,A,91,0.2031872509960159,51,251,38,2,160,-149,0.4,False
4264,3EZA,A,249,4395,1B75,A,94,0.2128514056224899,53,249,41,0,155,-143,0.4,False
4264,3EZA,A,249,4396,1COU,A,85,0.1752988047808765,44,251,39,2,166,-163,0.4,False
4264,3EZA,A,249,4397,1B2T,A,77,0.16,40,250,36,1,173,-170,0.4,False
4264,3EZA,A,249,4405,1KHM,A,89,0.1967871485943775,49,249,40,0,160,-151,0.4,False
4264,3EZA,A,249,4413,1COK,A,68,0.1526104417670682,38,249,30,0,181,-173,0.4,False
4264,3EZA,A,249,4424,1QHK,A,47,0.12,30,250,16,1,203,-190,0.4,False
4264,3EZA,A,249,4425,3BDO,A,82,0.1912350597609561,48,251,32,2,169,-155,0.4,False
4264,3EZA,A,249,4428,1QQV,A,67,0.1606425702811245,40,249,27,0,182,-169,0.4,False
4264,3EZA,A,249,4437,1CEJ,A,96,0.18,45,250,50,1,154,-160,0.4,False
4264,3EZA,A,249,4445,1D8B,A,81,0.172,43,250,37,1,169,-164,0.4,False
4264,3EZA,A,249,4455,1CI5,A,95,0.1976284584980237,50,253,41,4,158,-153,0.4,False
4264,3EZA,A,249,4473,1L6E,A,46,0.12,30,250,15,1,204,-190,0.4,False
4264,3EZA,A,249,4478,1B4R,A,80,0.199203187250996,50,251,28,2,171,-151,0.4,False
4264,3EZA,A,249,4493,1UD7,A,76,0.1818181818181818,46,253,26,4,177,-161,0.4,False
4264,3EZA,A,249,4494,3LRI,A,83,0.1666666666666666,42,252,38,3,169,-168,0.4,False
4264,3EZA,A,249,4496,1OM2,A,95,0.2191235059760956,55,251,38,2,156,-141,0.4,False
4264,3EZA,A,249,4510,1CXW,A,60,0.132,33,250,26,1,190,-184,0.4,False
4264,3EZA,A,249,4514,1D2L,A,45,0.1195219123505976,30,251,13,2,206,-191,0.4,False
4264,3EZA,A,249,4516,1D5G,A,96,0.2094861660079051,53,253,39,4,157,-147,0.4,False
4264,3EZA,A,249,4524,1DAQ,A,71,0.1785714285714285,45,252,23,3,181,-162,0.4,False
4264,3EZA,A,249,4540,1NLA,A,53,0.132,33,250,19,1,197,-184,0.4,False
4264,3EZA,A,249,4579,1HYI,A,65,0.1405622489959839,35,249,30,0,184,-179,0.4,False
4264,3EZA,A,249,4583,1DOQ,A,69,0.172,43,250,25,1,181,-164,0.4,False
4264,3EZA,A,249,4584,1DP3,A,55,0.152,38,250,16,1,195,-174,0.4,False
4264,3EZA,A,249,4588,1ED7,A,45,0.124,31,250,13,1,205,-188,0.4,False
4264,3EZA,A,249,4589,1EHX,A,94,0.1968503937007874,50,254,39,5,160,-154,0.4,False
4264,3EZA,A,249,4593,1EOQ,A,77,0.184,46,250,30,1,173,-158,0.4,False
4264,3EZA,A,249,4602,1DO9,A,94,0.2015810276679842,51,253,39,4,159,-151,0.4,False
4264,3EZA,A,249,4603,1DV5,A,80,0.1887550200803212,47,249,33,0,169,-155,0.4,False
4264,3EZA,A,249,4619,1E0E,A,47,0.1365461847389558,34,249,13,0,202,-181,0.4,False
4264,3EZA,A,249,4621,1E4U,A,78,0.16,40,250,37,1,172,-170,0.4,False
4264,3EZA,A,249,4622,1E52,A,56,0.1566265060240964,39,249,17,0,193,-171,0.4,False
4264,3EZA,A,249,4637,1F43,A,61,0.16,40,250,20,1,189,-170,0.4,False
4264,3EZA,A,249,4661,1C15,A,97,0.199203187250996,50,251,45,2,154,-151,0.4,False
4264,3EZA,A,249,4666,1DCZ,A,77,0.1897233201581027,48,253,25,4,176,-157,0.4,False
4264,3EZA,A,249,4677,1EXK,A,79,0.16,40,250,38,1,171,-170,0.4,False
4264,3EZA,A,249,4721,1D8J,A,81,0.199203187250996,50,251,29,2,170,-151,0.4,False
4264,3EZA,A,249,4740,1GH9,A,71,0.1792828685258964,45,251,24,2,180,-161,0.4,False
4264,3EZA,A,249,4752,1J9I,A,68,0.172,43,250,24,1,182,-164,0.4,False
4264,3EZA,A,249,4757,1DV0,A,45,0.1405622489959839,35,249,10,0,204,-179,0.4,False
4264,3EZA,A,249,4759,1QPU,A,106,0.22265625,57,256,42,7,150,-142,0.4,False
4264,3EZA,A,249,4771,1S62,A,102,0.2031872509960159,51,251,49,2,149,-149,0.4,False
4264,3EZA,A,249,4781,1F6U,A,55,0.1365461847389558,34,249,21,0,194,-181,0.4,False
4264,3EZA,A,249,4792,2AN7,A,83,0.2134387351778656,54,253,25,4,170,-145,0.4,False
4264,3EZA,A,249,4829,1JXS,A,98,0.1904761904761904,48,252,47,3,154,-156,0.4,False
4264,3EZA,A,249,4833,1G6E,A,87,0.1566265060240964,39,249,48,0,162,-171,0.4,False
4373,1FHO,A,119,4386,1EZY,A,129,0.2397260273972602,35,146,67,27,17,-76,0.4,False
4373,1FHO,A,119,4417,1B6F,A,159,0.2560975609756097,42,164,72,45,5,-80,0.4,False
4373,1FHO,A,119,4429,1RQU,A,120,0.2352941176470588,32,136,71,17,16,-72,0.4,False
4373,1FHO,A,119,4431,1CKV,A,141,0.2547770700636942,40,157,63,38,16,-77,0.4,False
4373,1FHO,A,119,4447,1H6Q,A,168,0.2369942196531791,41,173,73,54,5,-91,0.4,False
4373,1FHO,A,119,4448,1F3Y,A,165,0.2616279069767442,45,172,67,53,7,-82,0.4,False
4373,1FHO,A,119,4452,2AFP,A,129,0.2317880794701986,35,151,62,32,22,-81,0.4,False
4373,1FHO,A,119,4467,1UB1,A,125,0.2450331125827814,37,151,56,32,26,-77,0.4,False
4373,1FHO,A,119,4491,1QJT,A,99,0.2338709677419354,29,124,65,5,25,-66,0.4,False
4373,1FHO,A,119,4492,1JBA,A,189,0.2436548223350254,48,197,63,78,8,-101,0.4,False
4373,1FHO,A,119,4497,7HSC,A,159,0.2574850299401197,43,167,68,48,8,-81,0.4,False
4373,1FHO,A,119,4519,1D7Q,A,143,0.2515337423312883,41,163,58,44,20,-81,0.4,False
4373,1FHO,A,119,4528,1DC8,A,123,0.2657342657342657,38,143,61,24,20,-67,0.4,False
4373,1FHO,A,119,4553,1DGQ,A,188,0.25,48,192,67,73,4,-96,0.4,False
4373,1FHO,A,119,4566,1L6U,A,108,0.2330827067669172,31,133,63,14,25,-71,0.4,False
4373,1FHO,A,119,4574,1D4B,A,122,0.2206896551724138,32,145,64,26,23,-81,0.4,False
4373,1FHO,A,119,4577,1C05,A,159,0.2774566473988439,48,173,57,54,14,-77,0.4,False
4373,1FHO,A,119,4636,1F2H,A,169,0.2329545454545454,41,176,71,57,7,-94,0.4,False
4373,1FHO,A,119,4641,1FO7,A,107,0.2761194029850746,37,134,55,15,27,-60,0.4,False
4373,1FHO,A,119,4648,1FZT,A,211,0.2465116279069767,53,215,62,96,4,-109,0.4,False
4373,1FHO,A,119,4649,1G03,A,134,0.2291666666666666,33,144,76,25,10,-78,0.4,False
4373,1FHO,A,119,4664,1JZU,A,157,0.2701149425287356,47,174,55,55,17,-80,0.4,False
4373,1FHO,A,119,4668,1IX5,A,151,0.2666666666666666,44,165,61,46,14,-77,0.4,False
4373,1FHO,A,119,4688,1ILY,A,90,0.2519685039370078,32,127,50,8,37,-63,0.4,False
4373,1FHO,A,119,4697,1D1N,A,99,0.2748091603053435,36,131,51,12,32,-59,0.4,False
4373,1FHO,A,119,4700,1CF4,A,184,0.2459893048128342,46,187,70,68,3,-95,0.4,False
4373,1FHO,A,119,4701,1D9S,A,136,0.2756410256410256,43,156,56,37,20,-70,0.4,False
4373,1FHO,A,119,4706,1CX1,A,153,0.2256097560975609,37,164,71,45,11,-90,0.4,False
4373,1FHO,A,119,4716,1N4C,A,182,0.2474226804123711,48,194,59,75,12,-98,0.4,False
4373,1FHO,A,119,4717,1F7W,A,144,0.26875,43,160,60,41,16,-74,0.4,False
4373,1FHO,A,119,4735,1JYT,A,163,0.2640449438202247,47,178,57,59,15,-84,0.4,False
4373,1FHO,A,119,4751,1IVM,A,130,0.1985815602836879,28,141,80,22,11,-85,0.4,False
4373,1FHO,A,119,4775,1DUJ,A,187,0.2524752475247525,51,202,53,83,15,-100,0.4,False
4373,1FHO,A,119,4779,1PLO,A,122,0.2482269503546099,35,141,65,22,19,-71,0.4,False
4373,1FHO,A,119,4791,1JR6,A,138,0.2364864864864864,35,148,74,29,10,-78,0.4,False
4373,1FHO,A,119,4797,1KD6,A,179,0.227027027027027,42,185,71,66,6,-101,0.4,False
4373,1FHO,A,119,4814,1LS4,A,164,0.239766081871345,41,171,71,52,7,-89,0.4,False
4373,1FHO,A,119,4825,1M58,A,106,0.2666666666666666,36,135,54,16,29,-63,0.4,False
4373,1FHO,A,119,4841,1E91,A,85,0.2713178294573643,35,129,40,10,44,-59,0.4,False
4386,1EZY,A,129,4391,1JGK,A,66,0.208955223880597,28,134,33,5,68,-78,0.4,False
4386,1EZY,A,129,4394,2IFE,A,91,0.2518518518518518,34,135,51,6,44,-67,0.4,False
4386,1EZY,A,129,4395,1B75,A,94,0.2517985611510791,35,139,49,10,45,-69,0.4,False
4386,1EZY,A,129,4396,1COU,A,85,0.2296296296296296,31,135,48,6,50,-73,0.4,False
4386,1EZY,A,129,4397,1B2T,A,77,0.237037037037037,32,135,39,6,58,-71,0.4,False
4386,1EZY,A,129,4405,1KHM,A,89,0.225563909774436,30,133,55,4,44,-73,0.4,False
4386,1EZY,A,129,4413,1COK,A,68,0.2262773722627737,31,137,29,8,69,-75,0.4,False
4386,1EZY,A,129,4424,1QHK,A,47,0.1860465116279069,24,129,23,0,82,-81,0.4,False
4386,1EZY,A,129,4425,3BDO,A,82,0.2408759124087591,33,137,41,8,55,-71,0.4,False
4386,1EZY,A,129,4428,1QQV,A,67,0.2137404580152671,28,131,37,2,64,-75,0.4,False
4386,1EZY,A,129,4437,1CEJ,A,96,0.2740740740740741,37,135,53,6,39,-61,0.4,False
4386,1EZY,A,129,4445,1D8B,A,81,0.2213740458015267,29,131,50,2,50,-73,0.4,False
4386,1EZY,A,129,4455,1CI5,A,95,0.2746478873239437,39,142,43,13,47,-64,0.4,False
4386,1EZY,A,129,4473,1L6E,A,46,0.1603053435114503,21,131,23,2,85,-89,0.4,False
4386,1EZY,A,129,4478,1B4R,A,80,0.1969696969696969,26,132,51,3,52,-80,0.4,False
4386,1EZY,A,129,4493,1UD7,A,76,0.2388059701492537,32,134,39,5,58,-70,0.4,False
4386,1EZY,A,129,4494,3LRI,A,83,0.2196969696969697,29,132,51,3,49,-74,0.4,False
4386,1EZY,A,129,4496,1OM2,A,95,0.225563909774436,30,133,61,4,38,-73,0.4,False
4386,1EZY,A,129,4510,1CXW,A,60,0.2015503875968992,26,129,34,0,69,-77,0.4,False
4386,1EZY,A,129,4514,1D2L,A,45,0.1374045801526717,18,131,25,2,86,-95,0.4,False
4386,1EZY,A,129,4516,1D5G,A,96,0.2246376811594203,31,138,56,9,42,-76,0.4,False
4386,1EZY,A,129,4524,1DAQ,A,71,0.2213740458015267,29,131,40,2,60,-73,0.4,False
4386,1EZY,A,129,4540,1NLA,A,53,0.1923076923076923,25,130,27,1,77,-80,0.4,False
4386,1EZY,A,129,4579,1HYI,A,65,0.2307692307692307,30,130,34,1,65,-70,0.4,False
4386,1EZY,A,129,4583,1DOQ,A,69,0.2635658914728682,34,129,35,0,60,-61,0.4,False
4386,1EZY,A,129,4584,1DP3,A,55,0.1984732824427481,26,131,27,2,76,-79,0.4,False
4386,1EZY,A,129,4588,1ED7,A,45,0.1615384615384615,21,130,23,1,85,-88,0.4,False
4386,1EZY,A,129,4589,1EHX,A,94,0.2518518518518518,34,135,54,6,41,-67,0.4,False
4386,1EZY,A,129,4593,1EOQ,A,77,0.2153846153846154,28,130,48,1,53,-74,0.4,False
4386,1EZY,A,129,4602,1DO9,A,94,0.2536231884057971,35,138,50,9,44,-68,0.4,False
4386,1EZY,A,129,4603,1DV5,A,80,0.2180451127819548,29,133,47,4,53,-75,0.4,False
4386,1EZY,A,129,4619,1E0E,A,47,0.1969696969696969,26,132,18,3,85,-80,0.4,False
4386,1EZY,A,129,4621,1E4U,A,78,0.2153846153846154,28,130,49,1,52,-74,0.4,False
4386,1EZY,A,129,4622,1E52,A,56,0.1893939393939394,25,132,28,3,76,-82,0.4,False
4386,1EZY,A,129,4637,1F43,A,61,0.2290076335877862,30,131,29,2,70,-71,0.4,False
4386,1EZY,A,129,4661,1C15,A,97,0.2554744525547445,35,137,54,8,40,-67,0.4,False
4386,1EZY,A,129,4666,1DCZ,A,77,0.2213740458015267,29,131,46,2,54,-73,0.4,False
4386,1EZY,A,129,4677,1EXK,A,79,0.18796992481203,25,133,50,4,54,-83,0.4,False
4386,1EZY,A,129,4721,1D8J,A,81,0.217391304347826,30,138,42,9,57,-78,0.4,False
4386,1EZY,A,129,4740,1GH9,A,71,0.1985294117647058,27,136,37,7,65,-82,0.4,False
4386,1EZY,A,129,4752,1J9I,A,68,0.2290076335877862,30,131,36,2,63,-71,0.4,False
4386,1EZY,A,129,4757,1DV0,A,45,0.2307692307692307,30,130,14,1,85,-70,0.4,False
4386,1EZY,A,129,4759,1QPU,A,106,0.2571428571428571,36,140,59,11,34,-68,0.4,False
4386,1EZY,A,129,4771,1S62,A,102,0.2330827067669172,31,133,67,4,31,-71,0.4,False
4386,1EZY,A,129,4781,1F6U,A,55,0.1908396946564885,25,131,28,2,76,-81,0.4,False
4386,1EZY,A,129,4792,2AN7,A,83,0.2121212121212121,28,132,52,3,49,-76,0.4,False
4386,1EZY,A,129,4829,1JXS,A,98,0.2463768115942029,34,138,55,9,40,-70,0.4,False
4386,1EZY,A,129,4833,1G6E,A,87,0.2446043165467626,34,139,43,10,52,-71,0.4,False
4391,1JGK,A,66,4417,1B6F,A,159,0.20625,33,160,32,94,1,-94,0.4,False
4391,1JGK,A,66,4429,1RQU,A,120,0.2066115702479339,25,121,40,55,1,-71,0.4,False
4391,1JGK,A,66,4431,1CKV,A,141,0.2027972027972027,29,143,35,77,2,-85,0.4,False
4391,1JGK,A,66,4447,1H6Q,A,168,0.1823529411764705,31,170,33,104,2,-108,0.4,False
4391,1JGK,A,66,4448,1F3Y,A,165,0.1867469879518072,31,166,34,100,1,-104,0.4,False
4391,1JGK,A,66,4452,2AFP,A,129,0.2137404580152671,28,131,36,65,2,-75,0.4,False
4391,1JGK,A,66,4467,1UB1,A,125,0.1968503937007874,25,127,39,61,2,-77,0.4,False
4391,1JGK,A,66,4491,1QJT,A,99,0.2058823529411764,21,102,42,36,3,-60,0.4,False
4391,1JGK,A,66,4492,1JBA,A,189,0.1736842105263158,33,190,32,124,1,-124,0.4,False
4391,1JGK,A,66,4497,7HSC,A,159,0.175,28,160,37,94,1,-104,0.4,False
4391,1JGK,A,66,4519,1D7Q,A,143,0.2068965517241379,30,145,34,79,2,-85,0.4,False
4391,1JGK,A,66,4528,1DC8,A,123,0.2093023255813953,27,129,33,63,6,-75,0.4,False
4391,1JGK,A,66,4553,1DGQ,A,188,0.1746031746031746,33,189,32,123,1,-123,0.4,False
4391,1JGK,A,66,4566,1L6U,A,108,0.2342342342342342,26,111,37,45,3,-59,0.4,False
4391,1JGK,A,66,4574,1D4B,A,122,0.208,26,125,37,59,3,-73,0.4,False
4391,1JGK,A,66,4577,1C05,A,159,0.191358024691358,31,162,32,96,3,-100,0.4,False
4391,1JGK,A,66,4636,1F2H,A,169,0.1764705882352941,30,170,35,104,1,-110,0.4,False
4391,1JGK,A,66,4641,1FO7,A,107,0.1666666666666666,18,108,47,42,1,-72,0.4,False
4391,1JGK,A,66,4648,1FZT,A,211,0.1839622641509433,39,212,26,146,1,-134,0.4,False
4391,1JGK,A,66,4649,1G03,A,134,0.1851851851851851,25,135,40,69,1,-85,0.4,False
4391,1JGK,A,66,4664,1JZU,A,157,0.2278481012658227,36,158,29,92,1,-86,0.4,False
4391,1JGK,A,66,4668,1IX5,A,151,0.2193548387096774,34,155,28,89,4,-87,0.4,False
4391,1JGK,A,66,4688,1ILY,A,90,0.2365591397849462,22,93,41,27,3,-49,0.4,False
4391,1JGK,A,66,4697,1D1N,A,99,0.2358490566037736,25,106,34,40,7,-56,0.4,False
4391,1JGK,A,66,4700,1CF4,A,184,0.1978609625668449,37,187,26,121,3,-113,0.4,False
4391,1JGK,A,66,4701,1D9S,A,136,0.2028985507246377,28,138,36,72,2,-82,0.4,False
4391,1JGK,A,66,4706,1CX1,A,153,0.1935483870967742,30,155,34,89,2,-95,0.4,False
4391,1JGK,A,66,4716,1N4C,A,182,0.174863387978142,32,183,33,117,1,-119,0.4,False
4391,1JGK,A,66,4717,1F7W,A,144,0.2119205298013245,32,151,27,85,7,-87,0.4,False
4391,1JGK,A,66,4735,1JYT,A,163,0.1829268292682926,30,164,35,98,1,-104,0.4,False
4391,1JGK,A,66,4751,1IVM,A,130,0.2424242424242424,32,132,32,66,2,-68,0.4,False
4391,1JGK,A,66,4775,1DUJ,A,187,0.1798941798941798,34,189,30,123,2,-121,0.4,False
4391,1JGK,A,66,4779,1PLO,A,122,0.2301587301587301,29,126,33,60,4,-68,0.4,False
4391,1JGK,A,66,4791,1JR6,A,138,0.1843971631205673,26,141,37,75,3,-89,0.4,False
4391,1JGK,A,66,4797,1KD6,A,179,0.1712707182320442,31,181,33,115,2,-119,0.4,False
4391,1JGK,A,66,4814,1LS4,A,164,0.1626506024096385,27,166,37,100,2,-112,0.4,False
4391,1JGK,A,66,4825,1M58,A,106,0.2149532710280373,23,107,42,41,1,-61,0.4,False
4391,1JGK,A,66,4841,1E91,A,85,0.1839080459770115,16,87,48,21,2,-55,0.4,False
4394,2IFE,A,91,4417,1B6F,A,159,0.2228915662650602,37,166,47,75,7,-92,0.4,False
4394,2IFE,A,91,4429,1RQU,A,120,0.2578125,33,128,50,37,8,-62,0.4,False
4394,2IFE,A,91,4431,1CKV,A,141,0.2649006622516556,40,151,41,60,10,-71,0.4,False
4394,2IFE,A,91,4447,1H6Q,A,168,0.2386363636363636,42,176,41,85,8,-92,0.4,False
4394,2IFE,A,91,4448,1F3Y,A,165,0.239766081871345,41,171,44,80,6,-89,0.4,False
4394,2IFE,A,91,4452,2AFP,A,129,0.2246376811594203,31,138,51,47,9,-76,0.4,False
4394,2IFE,A,91,4467,1UB1,A,125,0.25,34,136,46,45,11,-68,0.4,False
4394,2IFE,A,91,4491,1QJT,A,99,0.2543859649122807,29,114,47,23,15,-56,0.4,False
4394,2IFE,A,91,4492,1JBA,A,189,0.2210526315789473,42,190,48,99,1,-106,0.4,False
4394,2IFE,A,91,4497,7HSC,A,159,0.25,41,164,45,73,5,-82,0.4,False
4394,2IFE,A,91,4519,1D7Q,A,143,0.2550335570469799,38,149,47,58,6,-73,0.4,False
4394,2IFE,A,91,4528,1DC8,A,123,0.2519083969465648,33,131,50,40,8,-65,0.4,False
4394,2IFE,A,91,4553,1DGQ,A,188,0.2135416666666666,41,192,46,101,4,-110,0.4,False
4394,2IFE,A,91,4566,1L6U,A,108,0.2809917355371901,34,121,44,30,13,-53,0.4,False
4394,2IFE,A,91,4574,1D4B,A,122,0.2283464566929134,29,127,57,36,5,-69,0.4,False
4394,2IFE,A,91,4577,1C05,A,159,0.2559523809523809,43,168,39,77,9,-82,0.4,False
4394,2IFE,A,91,4636,1F2H,A,169,0.2248520710059171,38,169,53,78,0,-93,0.4,False
4394,2IFE,A,91,4641,1FO7,A,107,0.2288135593220339,27,118,53,27,11,-64,0.4,False
4394,2IFE,A,91,4648,1FZT,A,211,0.2325581395348837,50,215,37,124,4,-115,0.4,False
4394,2IFE,A,91,4649,1G03,A,134,0.2318840579710145,32,138,55,47,4,-74,0.4,False
4394,2IFE,A,91,4664,1JZU,A,157,0.2515337423312883,41,163,44,72,6,-81,0.4,False
4394,2IFE,A,91,4668,1IX5,A,151,0.2662337662337662,41,154,47,63,3,-72,0.4,False
4394,2IFE,A,91,4688,1ILY,A,90,0.2641509433962264,28,106,47,15,16,-50,0.4,False
4394,2IFE,A,91,4697,1D1N,A,99,0.3103448275862069,36,116,38,25,17,-44,0.4,False
4394,2IFE,A,91,4700,1CF4,A,184,0.2460732984293193,47,191,37,100,7,-97,0.4,False
4394,2IFE,A,91,4701,1D9S,A,136,0.2602739726027397,38,146,43,55,10,-70,0.4,False
4394,2IFE,A,91,4706,1CX1,A,153,0.20625,33,160,51,69,7,-94,0.4,False
4394,2IFE,A,91,4716,1N4C,A,182,0.2299465240641711,43,187,43,96,5,-101,0.4,False
4394,2IFE,A,91,4717,1F7W,A,144,0.2368421052631578,36,152,47,61,8,-80,0.4,False
4394,2IFE,A,91,4735,1JYT,A,163,0.2366863905325443,40,169,45,78,6,-89,0.4,False
4394,2IFE,A,91,4751,1IVM,A,130,0.2205882352941176,30,136,55,45,6,-76,0.4,False
4394,2IFE,A,91,4775,1DUJ,A,187,0.2408376963350785,46,191,41,100,4,-99,0.4,False
4394,2IFE,A,91,4779,1PLO,A,122,0.2222222222222222,28,126,59,35,4,-70,0.4,False
4394,2IFE,A,91,4791,1JR6,A,138,0.2448979591836734,36,147,46,56,9,-75,0.4,False
4394,2IFE,A,91,4797,1KD6,A,179,0.217391304347826,40,184,46,93,5,-104,0.4,False
4394,2IFE,A,91,4814,1LS4,A,164,0.2261904761904762,38,168,49,77,4,-92,0.4,False
4394,2IFE,A,91,4825,1M58,A,106,0.2608695652173913,30,115,52,24,9,-55,0.4,False
4394,2IFE,A,91,4841,1E91,A,85,0.3243243243243243,36,111,29,20,26,-39,0.4,False
4395,1B75,A,94,4417,1B6F,A,159,0.2559523809523809,43,168,42,74,9,-82,0.4,False
4395,1B75,A,94,4429,1RQU,A,120,0.2538461538461538,33,130,51,36,10,-64,0.4,False
4395,1B75,A,94,4431,1CKV,A,141,0.2377622377622377,34,143,58,49,2,-75,0.4,False
4395,1B75,A,94,4447,1H6Q,A,168,0.2254335260115607,39,173,50,79,5,-95,0.4,False
4395,1B75,A,94,4448,1F3Y,A,165,0.2514619883040935,43,171,45,77,6,-85,0.4,False
4395,1B75,A,94,4452,2AFP,A,129,0.2164179104477611,29,134,60,40,5,-76,0.4,False
4395,1B75,A,94,4467,1UB1,A,125,0.2366412213740458,31,131,57,37,6,-69,0.4,False
4395,1B75,A,94,4491,1QJT,A,99,0.2905982905982906,34,117,42,23,18,-49,0.4,False
4395,1B75,A,94,4492,1JBA,A,189,0.21875,42,192,49,98,3,-108,0.4,False
4395,1B75,A,94,4497,7HSC,A,159,0.2409638554216867,40,166,47,72,7,-86,0.4,False
4395,1B75,A,94,4519,1D7Q,A,143,0.2337662337662337,36,154,47,60,11,-82,0.4,False
4395,1B75,A,94,4528,1DC8,A,123,0.2615384615384615,34,130,53,36,7,-62,0.4,False
4395,1B75,A,94,4553,1DGQ,A,188,0.2303664921465968,44,191,47,97,3,-103,0.4,False
